Time_us,angl_accel_x,angl_accel_y,angl_accel_z,pos_x,pos_y,pos_z
7442059,-1.41207338968193,3.45900808124416,0.229036581130173,-0.9841531,5.779843,4.177588
7492061,-2.00326963549371,4.43923844251228,-0.0202303592602778,-0.9845134,5.91713,4.182014
7545893,-1.49223360280514,4.48532331863212,-0.0320154366936452,-0.9844406,6.065908,4.188655
7595835,-2.26206584816542,4.41003031800065,0.225757146660228,-0.9842712,6.20274,4.196608
7650531,-2.39935669750672,3.80176371156379,0.169083673786178,-0.9842033,6.353343,4.204054
7723507,-1.55144617693171,3.20397452227762,-0.0902518613761555,-0.9834663,6.548876,4.213495
7774140,-2.56649900864553,4.33116867956325,-0.148268269002343,-0.9827287,6.695766,4.220516
7827554,-2.51275976340448,4.12697023235067,-0.237032742618433,-0.9821454,6.844989,4.227819
7899150,-2.34728420244933,3.03759707751144,-0.424472706684635,-0.981267,7.048743,4.237406
7953497,-2.0004498291519,3.86052435133743,-0.310983443200253,-0.9809996,7.198886,4.244161
8015644,-2.13330109141742,4.02175028087969,-0.203317957283117,-0.9811754,7.371326,4.251166
8077147,-2.36265695158411,3.66463349357006,-0.343630540050299,-0.98192,7.554109,4.260437
8128001,-2.20059076606429,4.00985103414203,-0.270699760929254,-0.9831132,7.696935,4.267933
8180942,-1.99238122706695,4.19062145049718,-0.220662782138964,-0.9849785,7.848096,4.276121
8245639,-2.28875936385017,3.87394788651441,-0.200669933982839,-0.9872858,8.032518,4.285647
8305413,-2.430674575502,3.38099576825206,-0.174549473369772,-0.9892023,8.2074,4.292483
8358984,-2.63303472753803,3.68154214565337,-0.0768260872624751,-0.9911514,8.357986,4.296478
8420385,-2.70864365065342,3.65877193540558,-0.113629131870988,-0.9936888,8.534447,4.300888
8473571,-2.45083548424951,3.90231486097527,-0.343437311473744,-0.9953068,8.694224,4.3045
8523933,-2.90630409215276,4.00848639229608,-0.282571661312721,-0.9971891,8.840627,4.307261
8586131,-2.42278234775434,3.51594971962112,-0.121237073571379,-1.000079,9.02755,4.308058
8638093,-2.593790328233,4.42785356659611,-0.299093893637737,-1.002164,9.181544,4.308735
