Time_us,accel_x,accel_y,accel_z,pos_x,pos_y,pos_z
866819,0.118215290288862,-0.134891558145956,-0.798128232122792,-0.1967393,-1.610472,1.680855
876025,0.148045046034743,-0.153543071517873,-0.99893497159877,-0.1998858,-1.610105,1.685981
886019,0.195162319606342,-0.167298907593865,-1.09607185722941,-0.2029629,-1.609704,1.691746
895810,0.256849830766367,-0.182922659378655,-1.10879054278155,-0.2051935,-1.607587,1.711781
905810,0.329087355381303,-0.170263134590533,-0.940792518979569,-0.2081548,-1.607162,1.71821
965814,0.257651307643598,-0.342158405440444,-0.719709495631897,-0.2240084,-1.602383,1.776794
975969,0.164086024764894,-0.436101119489277,-0.679463917709749,-0.2266158,-1.601804,1.784741
1006169,0.0566734951915644,-0.360450277407214,-0.691888228470223,-0.2335657,-1.598628,1.821974
1016079,0.117858680329439,-0.347527434450159,-0.951764254900948,-0.2359759,-1.597984,1.831542
1026199,0.183581434881616,-0.377094710944725,-1.23125225757481,-0.2383445,-1.597315,1.841617
1038045,0.189781443248193,-0.427582707683174,-1.33330734365451,-0.2406749,-1.596619,1.852125
1047806,0.158260533265465,-0.337499450877397,-1.0871361897415,-0.2448764,-1.595055,1.864005
1058544,0.159714267014491,-0.373825782780802,-1.10662039872421,-0.2486141,-1.593865,1.870656
1067440,0.140934759355635,-0.33062327400546,-1.0672039485869,-0.2502983,-1.591902,1.890106
1077355,0.183753698082582,-0.323211049266586,-0.901376689721864,-0.2540053,-1.590737,1.897424
1087829,0.227502345103286,-0.272409123467204,-0.759282215751285,-0.2576599,-1.589562,1.905253
1127296,0.197627356220234,-0.370637264808888,-0.644213819265097,-0.2697482,-1.583941,1.950666
1137899,0.179217278154071,-0.393939532879604,-0.722542031783104,-0.2730625,-1.582654,1.960276
1147347,0.233466683581478,-0.482071295891506,-0.880585859993171,-0.276318,-1.581349,1.97033
1188827,0.397058093814764,-0.211611241720399,-0.812574863264997,-0.2874485,-1.575376,2.019978
1198886,0.340603392934036,-0.356726907384241,-1.11491203615354,-0.2904765,-1.574049,2.029869
1209025,0.282695689828763,-0.471301336132845,-1.13885753982959,-0.2941507,-1.572443,2.037486
1219858,0.215161757929148,-0.540503341149845,-0.981369564320078,-0.2977509,-1.570879,2.045545
1230510,0.220530384056259,-0.463204357530633,-0.686717449054772,-0.3012941,-1.569317,2.054044
1332395,0.303091900839687,-0.298309292634914,-0.833095788227006,-0.3293009,-1.552624,2.169244
1342777,0.302047272663348,-0.486638587158897,-0.922131980986138,-0.332003,-1.550988,2.179423
1352825,0.292022824784028,-0.578999666697188,-0.890135399753414,-0.3346292,-1.549357,2.189899
1362500,0.240312629410773,-0.571015915975418,-0.823226392608255,-0.3357537,-1.547586,2.207665
1372614,0.152819129033385,-0.560472621794623,-0.794443645323808,-0.3382666,-1.545953,2.216792
1385414,0.334468482692469,-0.351968776685399,-0.761769926697581,-0.3409854,-1.543767,2.231566
1395849,0.341711614272951,-0.441109920207027,-0.711118864182578,-0.3432876,-1.542127,2.241387
1405968,0.278474377248464,-0.509476230015586,-0.63865377489013,-0.345502,-1.540476,2.251536
1417820,0.237872244539048,-0.501778554694267,-0.606116218382705,-0.3474168,-1.538988,2.259263
1447044,0.146126502511218,-0.360636967756249,-0.815206135672218,-0.3519022,-1.534176,2.295052
1457424,0.0918920598012546,-0.30928459825183,-0.919675354201011,-0.3535135,-1.532701,2.303909
1467044,0.111842015384229,-0.239812947434774,-0.858816916923388,-0.3550211,-1.531201,2.31306
