time,max_dev
1514423786,0.0391077241406
1514423787,0.101967179506
1514423788,0.135449575961
1514423789,0.0945462336217
1514423790,0.037552646849
1514423791,-0.0102812210027
1514423792,0.0174162994011
1514423793,0.00751540652392
1514423794,-0.0628207518816
1514423795,-0.0616885679901
1514423796,0.0270056084986
1514423797,0.0709339255236
1514423798,0.118351046723
1514423799,0.0401150667621
1514423800,-0.00117616347414
1514423801,-0.00387255751305
1514423802,0.0125543039463
1514423803,0.0323361117492
1514423804,0.0417377535859
1514423805,0.00596728412172
1514423806,0.0351323481098
1514423807,0.0843864750867
1514423808,0.112114524078
1514423809,0.0773929778278
1514423810,0.0655036491597
1514423811,0.0977344434474
1514423812,0.108033565636
1514423813,0.0859797193475
1514423814,0.0327529316956
1514423815,-0.0665403530432
1514423816,-0.0686631128429
1514423817,0.0054184173442
1514423818,0.0251854090413
1514423819,-0.0160045733601
1514423820,-0.0246646563502
1514423821,0.125243444948
1514423822,0.442350361574
1514423823,0.769269820138
1514423824,1.16031494442
1514423825,1.66199852707
1514423826,2.50550701516
1514423827,3.76824977549
1514423828,5.49323196891
1514423829,7.38897532566
1514423830,9.45283810203
1514423831,11.0994007091
1514423832,10.4791855771
1514423833,5.32282455334
1514423834,1.4752127185
1514423835,-1.17930266171
1514423836,0.0476709368047
1514423837,0.190053392393
1514423838,0.342689972506
1514423839,0.357128363165
1514423840,0.114797591244
1514423841,-0.0228303405695
1514423842,-0.0389336862308
1514423843,0.0139950539161
1514423844,0.00954249231793
1514423845,0.00270342927527
1514423846,-0.0035750144348
1514423847,-0.0192160974127
1514423848,-0.0623758938722
1514423849,-0.0451453609264
1514423850,-0.0240924392972
1514423851,-0.023398697983
1514423852,-0.0280891036712
1514423853,-0.0139449124199
1514423854,0.000862589043627
1514423855,0.0177773444704
1514423856,0.0291206769876
1514423857,0.0233839674047
1514423858,0.0209065047954
1514423859,0.0314444001751
1514423860,0.0317680314095
1514423861,0.0220158434112
1514423862,0.0141951649531
1514423863,-0.0197215940186
1514423864,-0.0641813546659
1514423865,-0.00392164911391
1514423866,0.0247523334117
1514423867,0.0498679095908
1514423868,0.0541519279373
1514423869,0.0586452379411
1514423870,0.0466646287777
1514423871,0.0245620254901
1514423872,0.0325521716028
1514423873,0.0294025391985
1514423874,0.0296258519261
1514423875,0.0152605422966
1514423876,0.0270353229289
1514423877,0.0241981783394
1514423878,0.00795206346196
1514423879,0.00337818715973
1514423880,0.00845656474763
1514423881,0.00284035894363
1514423882,0.00722789076592
1514423883,0.00277424683001
1514423884,-0.0120362662656
1514423885,-0.0155894155686
1514423886,-0.000852253615759
1514423887,-0.0304240554356
1514423888,-0.0465325832288
1514423889,-0.0199219547602
1514423890,-0.00889375114789
1514423891,0.0112476916638
1514423892,-0.00402099544217
1514423893,-0.0213372287335
1514423894,-0.0571504732726
1514423895,-0.0551333456661
1514423896,-0.0178066540755
1514423897,0.0129911486431
1514423898,0.0177763747978
1514423899,0.0186224591355
1514423900,0.00563744064588
1514423901,-0.00107573634968
1514423902,-0.00575416680388
1514423903,-0.0109142322039
1514423904,0.097517278818
1514423905,0.220237362832
1514423906,0.217630487921
1514423907,0.0497492318637
1514423908,-0.0208081496136
1514423909,-0.0266451147837
