time,sins_x,sins_y,x,y,z,ve,vn,vu,sins_pitch,sins_roll,sins_yaw,pitch,roll,yaw,gnss_mode,frame_type,measure_type,is_have_var,var_0,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,fb_0,fb_1,fb_2,wibb_0,wibb_1,wibb_2,type
1514423689.947404,-2.129535918020782,0.6529777834128181,-122.0134204241081,37.41287110536205,-31.17254602105528,0.0,0.0,0.0,0.0,0.0,2.886987319509498,0.0,0.0,165.4121889156808,0.0,2.0,4.0,1.0,0.003868498222350389,0.008277111825477803,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
1514423690.147513,-2.129536058355654,0.6529773745809551,-122.013428464704,37.41284768102177,-31.17262739240372,0.0,0.0,0.0,0.0,0.0,2.890781703534038,0.0,0.0,165.6295911061387,0.0,2.0,4.0,1.0,0.002109116557187489,0.003081742562154262,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
1514423690.347616,-2.129536198893914,0.6529769659523755,-122.0134365169531,37.41282426832877,-31.18125858054362,0.0,0.0,0.0,0.0,0.0,2.891507284291454,0.0,0.0,165.6711638212346,0.0,2.0,4.0,1.0,0.001243209338687752,0.001455710353776393,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
1514423690.547719,-2.129536340240396,0.6529765576925476,-122.01344461551,37.41280087676368,-31.13625673799113,0.0,0.0,0.0,0.0,0.0,2.89186043772578,0.0,0.0,165.691398022542,0.0,2.0,4.0,1.0,0.0005825175726217129,0.000790024272539847,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
1514423690.747822,-2.129536480459925,0.6529761484551994,-122.0134526494972,37.41277742919081,-31.13109741082623,0.0,0.0,0.0,0.0,0.0,2.894008848804337,0.0,0.0,165.8144929100025,0.0,2.0,4.0,1.0,0.001065334604464189,0.001150767591974182,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
1514423690.947923,-2.129536616384027,0.6529757392969908,-122.0134604373746,37.41275398615231,-31.13421361159845,0.0,0.0,0.0,0.0,0.0,2.893976048423943,0.0,0.0,165.8126135866395,0.0,2.0,4.0,1.0,0.002726920305394348,0.0008632444277478771,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
1514423691.148038,-2.12953675156425,0.65297532896446,-122.0134681826308,37.4127304758301,-31.1346494944441,0.0,0.0,0.0,0.0,0.0,2.896013770728485,0.0,0.0,165.9293664745094,0.0,2.0,4.0,1.0,0.003393448644255364,0.001779991412329576,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
1514423691.348141,-2.129536882284897,0.6529749216498464,-122.0134756723722,37.4127071384218,-31.09609112316463,0.0,0.0,0.0,0.0,0.0,2.895741360418131,0.0,0.0,165.9137585134303,0.0,2.0,4.0,1.0,0.003938631013833497,0.001332645599005159,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
1514423691.548244,-2.129537015650544,0.6529745158801206,-122.0134833136609,37.41268388952906,-31.09383932496935,0.0,0.0,0.0,0.0,0.0,2.895833657551786,0.0,0.0,165.9190467496499,0.0,2.0,4.0,1.0,0.003319606097555747,0.001023436117465381,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
1514423691.748347,-2.129537145473672,0.652974111138385,-122.0134907519782,37.41266069953582,-31.08987828125308,0.0,0.0,0.0,0.0,0.0,2.896836509465007,0.0,0.0,165.9765059317541,0.0,2.0,4.0,1.0,0.003990768635374378,0.001748174059875998,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
1514423691.948448,-2.129537279705467,0.6529737069993008,-122.0134984428935,37.41263754407196,-31.06166501597496,0.0,0.0,0.0,0.0,0.0,2.896534865070014,0.0,0.0,165.9592229810072,0.0,2.0,4.0,1.0,0.002898346901969229,0.001621358175615339,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
1514423692.148557,-2.129537412602565,0.652973303688859,-122.0135060573364,37.41261443608581,-31.05934771214952,0.0,0.0,0.0,0.0,0.0,2.89485733278479,0.0,0.0,165.8631074610669,0.0,2.0,4.0,1.0,0.003160791774381381,0.001345063766486459,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
1514423692.34866,-2.129537547649243,0.652972901914187,-122.0135137949411,37.41259141609279,-31.05518640519218,0.0,0.0,0.0,0.0,0.0,2.893333311617327,0.0,0.0,165.7757874802827,0.0,2.0,4.0,1.0,0.002431343101456378,0.001613877183893464,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
