Time_us,x,y,z,roll,pitch,yaw,V_x,V_y,V_z,Gyro_x,Gyro_y,Gyro_z
1082900,-0.01388353,0.01038555,-1.304598,-0.002509137,-0.004576737,0.01887073,0.005796274,-0.002777132,-1.959906,0.0059352,0.0121118,0.0006295168
1085399,-0.01387151,0.01038029,-1.308519,-0.002498837,-0.004554147,0.01886888,0.006228645,-0.002481828,-1.960739,0.005916647,0.01212699,0.0006119043
1087898,-0.01385263,0.01037262,-1.314402,-0.002483341,-0.004521031,0.01886747,0.006352962,-0.002630541,-1.961552,0.005876116,0.01209481,0.0005772102
1090397,-0.01362257,0.01019454,-1.318843,-0.002472726,-0.004498058,0.01886552,0.006408019,-0.002890906,-1.962479,0.005837916,0.01204885,0.0005526325
1092896,-0.01360229,0.01018556,-1.324732,-0.0024585,-0.004464764,0.01886506,0.007116911,-0.003097295,-1.963472,0.005769231,0.01196451,0.0005250877
1095395,-0.01358831,0.01017926,-1.32866,-0.002449279,-0.00444284,0.01886289,0.006857332,-0.003204315,-1.964479,0.005707932,0.01189328,0.0005089812
1097894,-0.01356799,0.01016936,-1.334555,-0.002435954,-0.004409078,0.01886055,0.006692152,-0.003394232,-1.965658,0.005590212,0.01179549,0.0004697271
1100393,-0.01355427,0.01016261,-1.338487,-0.002428633,-0.004386573,0.01885965,0.007026017,-0.003349361,-1.96637,0.005477989,0.01173863,0.0004474114
1102892,-0.01332653,0.009987745,-1.344882,-0.002415259,-0.004352771,0.01885884,0.006958239,-0.003929567,-1.967538,0.005285243,0.01166897,0.0004293764
1105391,-0.01331212,0.009979562,-1.348818,-0.002407197,-0.004330609,0.01885675,0.007447599,-0.004253801,-1.968271,0.005154104,0.01162531,0.0004185803
1107890,-0.01328936,0.009967126,-1.354724,-0.002395736,-0.004297257,0.01885604,0.007724637,-0.004037104,-1.969056,0.004960073,0.011571,0.000424039
1110389,-0.01327418,0.009959207,-1.358663,-0.002388912,-0.004274969,0.0188535,0.007457235,-0.003881762,-1.969615,0.004828897,0.01154282,0.0004254008
1112888,-0.0132524,0.009947877,-1.364573,-0.002378006,-0.004242182,0.01885257,0.007065872,-0.00367107,-1.970833,0.004624508,0.01149995,0.0004054987
1115387,-0.01304238,0.00978555,-1.368989,-0.002370188,-0.004220599,0.01885104,0.00689563,-0.003682268,-1.971612,0.004495012,0.01146934,0.0003987299
1117886,-0.01302167,0.009775069,-1.374905,-0.002358921,-0.004187443,0.01885008,0.006909566,-0.00330517,-1.972077,0.004331101,0.01142345,0.0003882793
1120385,-0.01300824,0.009768129,-1.37885,-0.002351673,-0.004165611,0.01884871,0.006524133,-0.003634516,-1.9728,0.004242741,0.01139349,0.0003914433
1122884,-0.01298844,0.009757179,-1.384769,-0.002339075,-0.004132562,0.01884766,0.006672133,-0.003666114,-1.973287,0.004167272,0.01134944,0.0003986862
1125383,-0.01297523,0.009749939,-1.388716,-0.002330987,-0.004111499,0.01884671,0.006541562,-0.003573613,-1.974012,0.004146443,0.01131632,0.0004046173
1127882,-0.01276847,0.009591322,-1.395093,-0.002317916,-0.00407862,0.01884718,0.007089782,-0.004201841,-1.974608,0.004142914,0.01127379,0.0004391958
1130381,-0.01275428,0.009582971,-1.399043,-0.002310144,-0.004057326,0.01884634,0.007105089,-0.004149036,-1.974912,0.004170319,0.01124599,0.0004763288
1132880,-0.0127332,0.009570481,-1.404968,-0.002298123,-0.004026915,0.01884729,0.006948043,-0.004177392,-1.975324,0.004227886,0.01117118,0.0005534744
1135379,-0.01271918,0.009561976,-1.408919,-0.002291749,-0.004005766,0.01884734,0.007067263,-0.004327436,-1.975463,0.00424839,0.01111364,0.0006188246
1137878,-0.01269845,0.009549315,-1.414847,-0.002280611,-0.003974983,0.01884652,0.006755013,-0.004113618,-1.976551,0.004244437,0.01101405,0.0006932417
1140377,-0.0123368,0.009254995,-1.419617,-0.002274153,-0.003954706,0.01884561,0.007119961,-0.004213859,-1.976937,0.004210539,0.01093156,0.0007203758
1142876,-0.01231525,0.009241605,-1.425549,-0.002261987,-0.003926507,0.01884481,0.007248946,-0.004712334,-1.977738,0.004151292,0.01080367,0.0007483844
1145375,-0.01230115,0.009232367,-1.429505,-0.002255284,-0.00390677,0.01884367,0.006850994,-0.004525753,-1.978271,0.004128747,0.01070989,0.0007575693
1147874,-0.01228041,0.009218165,-1.435441,-0.002244264,-0.003878803,0.01884357,0.006976027,-0.0049429,-1.978885,0.00410663,0.0105625,0.0007789211
1150373,-0.01226601,0.009208175,-1.4394,-0.002236565,-0.00385993,0.01884205,0.007427383,-0.005046283,-1.979811,0.004120458,0.01045338,0.0008014707
