Time_us,x,y,z,roll,pitch,yaw,V_x,V_y,V_z,Gyro_x,Gyro_y,Gyro_z
3114126,-0.3012893,0.35688,-1.233585,-0.001949907,-0.01596757,0.09681728,-0.03122007,-0.1058825,-0.2842351,0.01194137,-0.06288214,-0.01145713
3219944,-0.3002676,0.3339321,-1.28868,-0.001753101,-0.02176712,0.09686881,-0.04547408,-0.1048517,-0.2756818,-0.01789241,-0.05811736,-0.005353496
3323187,-0.3017488,0.312947,-1.33663,-0.00282485,-0.02892463,0.09665997,-0.06549378,-0.1220799,-0.2694005,0.009411149,-0.07192392,-6.326181e-05
3428185,-0.3051851,0.2884966,-1.380625,-0.0009204904,-0.03462933,0.0957424,-0.0518945,-0.1431687,-0.1976413,0.02142839,-0.04765384,-0.004247003
3531229,-0.3090576,0.2667875,-1.416127,0.0006318751,-0.03960508,0.0959935,-0.05690735,-0.1242479,-0.1382695,0.0189625,-0.03888939,0.009378375
3635713,-0.3076963,0.245295,-1.445154,0.003396998,-0.04088635,0.09621636,-0.01726606,-0.1358593,-0.1209772,0.005062765,0.006104768,0.0009063581
3739294,-0.3038575,0.2252505,-1.470347,0.007505325,-0.04049287,0.09620924,-0.01036251,-0.1436724,-0.07592224,0.02273893,0.0146778,-0.004107731
3843517,-0.2969955,0.2045921,-1.485817,0.01003762,-0.03668328,0.09533328,0.02372278,-0.1398429,-0.02476426,0.04749266,0.04855291,0.002703311
3948346,-0.2885036,0.1854921,-1.495681,0.01354002,-0.03205089,0.09444302,0.03432644,-0.1273405,-0.03117983,0.05605688,0.0551107,0.008356553
4051258,-0.2791017,0.1693603,-1.504116,0.01344014,-0.02847408,0.09329496,0.05278722,-0.1350819,-0.02680853,-0.00296573,0.006015236,0.0249284
4155909,-0.2671818,0.1538609,-1.511233,0.01457178,-0.02711974,0.09366979,0.06772459,-0.1341349,-0.005767262,-0.02481568,0.0172771,0.03118188
4258572,-0.2527063,0.1398432,-1.514865,0.01680405,-0.02420071,0.09406321,0.09134535,-0.1062671,-0.01920959,0.02464314,0.01118116,0.03543459
4363524,-0.2389915,0.127066,-1.515438,0.01880611,-0.02202844,0.09478145,0.07811259,-0.09193654,0.00775703,0.02468808,0.03003866,0.03119087
4466883,-0.2274057,0.1161242,-1.514555,0.0165065,-0.01920618,0.09495942,0.05737593,-0.07298057,-0.007058172,0.007811912,0.01667967,0.03243444
4571340,-0.2158423,0.1087184,-1.512394,0.01667887,-0.01766223,0.09417497,0.07191696,-0.05169836,-0.03513039,-0.02655107,0.01811029,0.0189718
4674114,-0.2051525,0.1050644,-1.512738,0.01544029,-0.01722098,0.09429319,0.0508201,-0.04478292,-0.01754749,-0.0267883,0.002092954,0.0298656
4778580,-0.1944791,0.10355,-1.514627,0.01292139,-0.0181142,0.09464771,0.05896965,-0.0367468,-0.00896934,-0.03675035,-0.00945862,0.01036776
4881697,-0.1843448,0.1032099,-1.520692,0.007870959,-0.02006633,0.09425863,0.05965849,-0.007787395,-0.01266306,-0.03005784,-0.03256133,0.02163142
4986108,-0.1732559,0.1035933,-1.525203,0.005839285,-0.02014649,0.09407178,0.05737112,-0.01502252,-0.04226682,-0.01388999,-0.00721271,0.009523804
