Time_us,x,y,z,roll,pitch,yaw,V_x,V_y,V_z,Gyro_x,Gyro_y,Gyro_z
1000433,-0.01388527,0.01374902,-1.200551,-0.00402351,-0.004671881,0.006353582,0.005709843,-0.002238966,-2.040973,0.0106178,0.007941612,0.0002046971
1100393,-0.01141654,0.01174052,-1.409679,-0.00314025,-0.003800047,0.006332835,0.007315193,-0.001555931,-2.063986,0.007868001,0.009318909,0.0003542345
1200353,-0.008738632,0.009591269,-1.622239,-0.002725105,-0.003095108,0.006322768,0.0107404,-0.004141061,-2.073344,0.003377137,0.006355192,0.0003710633
1300313,-0.006181291,0.007439922,-1.836317,-0.002414355,-0.002513096,0.00631165,0.009881189,-0.00542695,-2.067931,0.004255047,0.005670166,0.000501106
1400273,-0.003465622,0.005123357,-2.049815,-0.001999845,-0.002238821,0.006305728,0.006822498,-0.00684403,-2.039293,0.004488396,0.001302323,0.0004919121
1500233,-0.0008173487,0.00314608,-2.260647,-0.001646601,-0.002237916,0.006311818,0.009355678,-0.001790892,-2.004103,0.003352155,0.001440846,0.0006511759
1600193,0.00210306,0.0008445934,-2.46787,-0.001712349,-0.001938911,0.006321683,0.009828649,-0.00369108,-1.95386,-0.00158303,0.003635678,0.0005966067
1700153,0.004714038,-0.001534451,-2.670103,-0.001678681,-0.001537173,0.006317722,0.007135817,-0.004573431,-1.895145,0.002399133,0.004347359,0.0005531046
1800113,0.007920546,-0.004202109,-2.866609,-0.001313078,-0.001341251,0.006308449,0.007972011,-0.004877657,-1.830034,0.005241354,0.002184472,0.0006456443
1900073,0.01088963,-0.006580402,-3.055931,-0.0008052047,-0.001074481,6.28141,0.005885333,-0.003750591,-1.752785,0.005550963,0.003289767,0.0004771448
2000033,0.01406018,-0.009107945,-3.237541,-0.0004578652,-0.0007971732,6.28148,0.003974065,-0.003169757,-1.669623,0.002782613,0.003057136,0.0002072692
2099993,0.01675105,-0.0113378,-3.408383,-0.0002604898,-0.000610953,6.281496,0.003447164,-0.001137078,-1.570964,0.002735931,0.001254611,-4.048907e-05
2199953,0.0198115,-0.01342486,-3.570127,-9.988378e-05,-0.001285688,6.281503,0.001263563,0.001934544,-1.456396,0.0007700699,-0.0134893,0.0002836408
2299913,0.02251606,-0.0150397,-3.719999,-0.0001156876,-0.004492437,6.281508,0.002041825,0.002918661,-1.340132,0.0001916873,-0.04333197,0.0005240613
2399873,0.02569371,-0.01660577,-3.858264,-8.492947e-05,-0.01097654,6.281491,0.004875129,0.004672153,-1.220569,0.0008894452,-0.07716356,0.0005200158
2499833,0.02918844,-0.01775719,-3.983814,-1.178738e-05,-0.02076614,6.281476,0.01772066,0.007358781,-1.099679,0.001229912,-0.1084874,0.0007873636
2599793,0.03478962,-0.0191655,-4.097302,-0.0001142363,-0.03306666,6.281458,0.04115811,0.01000613,-0.9786497,-0.001260248,-0.1292571,0.0009435422
2699753,0.04280739,-0.02029284,-4.198377,-0.0002027953,-0.04631445,6.281433,0.07195568,0.01227753,-0.8679082,0.0003415034,-0.1319486,0.0008844296
2799713,0.05421538,-0.02173992,-4.288757,-0.0002504484,-0.05876568,6.281404,0.113457,0.01052208,-0.7643377,0.001189768,-0.1190502,0.001266665
2899673,0.069643,-0.02321956,-4.368567,0.0001172779,-0.06950022,6.281353,0.1597069,0.008401769,-0.6757268,0.006515762,-0.100556,0.001364782
3000466,0.08957097,-0.0247626,-4.440053,0.0007048943,-0.0788309,6.281301,0.213472,0.01002753,-0.5920518,0.00494709,-0.08802495,0.00167251
3100426,0.1143361,-0.02612156,-4.502099,0.001107795,-0.08693442,6.281232,0.2708789,0.009483055,-0.5203377,0.005256067,-0.07823409,0.002005867
3200386,0.1446125,-0.02771379,-4.556986,0.001524219,-0.0943028,6.281152,0.3319629,0.009500148,-0.4562438,0.005268057,-0.0711794,0.002631684
3300346,0.180692,-0.02911845,-4.60501,0.002015164,-0.1012975,6.281067,0.394457,0.01026003,-0.3999768,0.006244586,-0.06965982,0.003266529
3400306,0.2225275,-0.030433,-4.647371,0.002369908,-0.1082357,6.281008,0.4614598,0.01084826,-0.3527128,0.002553022,-0.06825618,0.00362582
3500266,0.2707677,-0.03147424,-4.684508,0.002546551,-0.1146307,6.280981,0.5311589,0.01335505,-0.31275,0.002792024,-0.0613066,0.004364819
3600226,0.3259241,-0.0329988,-4.717296,0.002614731,-0.1198867,6.280928,0.6010614,0.01277021,-0.2768364,0.001335905,-0.04779201,0.004393587
3700186,0.3880229,-0.03448962,-4.746187,0.002728057,-0.1240011,6.28084,0.6710842,0.01169965,-0.2454392,0.003521606,-0.03821897,0.004546107
3800146,0.4570105,-0.03628437,-4.771782,0.003020383,-0.1272473,6.280843,0.7427393,0.01178721,-0.2190585,0.005143336,-0.02932674,0.004855607
3900106,0.5327824,-0.0378035,-4.794441,0.003444858,-0.1299483,6.280902,0.8087825,0.0122145,-0.1971406,0.005445845,-0.02734057,0.005201364
