Time_us,accel_x,accel_y,accel_z,angl_accel_x,angl_accel_y,angl_accel_z
16187689,-0.00484378937728352,-0.267802745603121,0.144670085061576,0.00771652893557349,0.0123287314205537,-0.00173304744127634
16190188,-0.110775796104488,-0.668377032589372,-0.00980712230601176,0.0224418198822839,0.022948874929623,-0.00909324173339245
16192687,0.00845220368495006,-0.843655895821157,-0.0583297977096306,0.00761842521201737,0.0203126796231672,-0.00648039318167204
16195186,0.138241875586819,-1.8726811188936,-0.0552495294707149,0.00935839914842505,0.0320019746935277,-0.00435972414565784
16197685,-0.035441761233455,-1.57585783329376,0.122567539712971,0.00222118575606885,0.0118958533553277,0.00331468096138422
16200184,0.120674201840212,-2.4893747343278,0.04153482848064,0.00147369117930489,0.00653606419433052,0.0182047795751949
16202683,0.0313900472809678,-1.78200082485948,-0.000275720292432146,0.00333712109703846,0.00320816344569811,0.0153628357937826
16205182,0.211633980568166,-3.3266433312239,-0.0655185135481069,0.00524890253274588,0.00611764579763861,0.014508466223588
16207681,0.213333872664364,-2.3851806975601,0.0622073631853283,0.0116593282571519,0.00772342447178418,0.00384761377268094
16210180,0.223367916191291,-3.33832792473083,-0.0224694781400785,-0.0499098955087673,0.0790713949015416,2.97779567538896e-05
16212679,-0.0109635250834839,-2.40024221038444,-0.0299593806615112,-0.116383313780998,0.136726217300091,0.00996408664155561
16215178,-0.00891906119717149,-3.88132171893018,0.0848472592592077,-0.15528902412997,0.0438792991632432,0.0277644087397878
16217677,-0.0304059904708842,-2.73974455217506,0.0931103944054547,-0.159691861458934,0.0430367162157309,0.00968726786477296
16220176,0.0104673465019043,-4.16240743301487,0.287658503358042,-0.252102027384686,0.0182159697318064,-0.0130109468190877
16222675,0.0614380081809489,-2.58724767691339,-0.107502913501574,-0.396883376190785,0.0313732043826656,0.00918571483132629
16225174,0.18293010624074,-4.23048437449169,-0.162415756960142,-0.359494549543092,-0.082670470039354,-0.00939992520494693
16227673,0.0651975199735641,-2.87194976929736,0.0036202568568216,-0.505433518351772,-0.055698095096713,-0.00811925720411417
16230172,0.146316343668945,-4.17920164114567,0.117952449208959,-0.453694582265013,-0.0845284851543998,-0.00904469850440008
16232671,0.0297203033304872,-2.91485633829567,0.0745811734287711,-0.638514665220401,-0.0477806217497085,-0.0134821828942905
16235170,0.0774843287172102,-4.68328579118316,-0.00890266225786051,-0.616473922095549,-0.0476570680112129,-0.0222817269053933
16237669,-0.00950393732450595,-3.03274231204676,-0.189798983988604,-0.722913198836567,-0.0237122766546729,-0.0103553199842593
