Time_us,x,y,z,roll,pitch,yaw,V_x,V_y,V_z,Gyro_x,Gyro_y,Gyro_z
1000433,-0.01758828,0.01718953,-1.049767,-0.007729618,-0.009103901,0.008385324,0.01793655,-0.0214332,-2.153218,0.03666477,0.03103068,-0.0009932714
2000033,0.03133593,-0.02942348,-3.181309,0.002920619,0.003197496,0.003183745,0.007172024,-0.004638519,-1.804115,0.008461007,0.01046699,0.0008051656
3000466,0.1450613,-0.04668139,-4.457995,0.003540649,-0.1024063,0.003462035,0.3245484,0.02578612,-0.607145,0.002828031,-0.0708581,0.0005192566
4000066,0.869186,-0.04462754,-4.819287,0.0009033662,-0.1515427,0.003137536,1.110246,0.03797799,-0.1528313,-0.002602068,-0.0254821,-0.0002264077
5000499,2.378434,-0.0475172,-4.920151,-0.004841279,-0.2164778,0.02246762,1.91166,0.02616976,-0.0658434,0.005845336,-0.07148525,-0.01807895
6000099,4.766809,-0.06545497,-4.956251,0.002338574,-0.2663797,0.00659273,2.807278,0.03157366,-0.03417071,0.001029306,-0.00983268,0.0073042
7000532,7.972257,-0.08252565,-4.972006,0.001437017,-0.2791138,0.01142141,3.468983,0.02494811,-0.02473351,0.01157775,-0.007119752,-0.004282828
8000132,11.727,-0.09165599,-4.978103,0.001904701,-0.2885083,0.01041761,3.89798,0.03508362,-0.02020711,-0.00256325,-0.009346279,-5.608867e-05
9000565,15.84159,-0.08670828,-4.982528,0.002183179,-0.2943215,0.008998863,4.185212,0.02885718,-0.01774593,0.005647495,-0.005389545,-0.002903188
10000165,19.96311,-0.07164899,-5.031458,0.004349526,-0.1585196,0.009125431,3.720233,0.03816622,-0.09927613,0.002464082,0.09124968,-0.0005321911
11000598,23.28293,-0.04462185,-5.127309,0.004091733,-0.05479215,0.009082546,2.692418,0.03875811,-0.1012564,0.002339649,0.1142301,-0.001480826
12000198,25.38397,-0.01307084,-5.209514,0.002906691,0.08691225,0.008766879,1.270221,0.0251348,-0.06485359,-0.0003190884,0.08291113,-0.0003816948
13000631,26.05364,0.008520781,-5.139303,-0.0003171846,0.07029628,0.00899629,0.1270697,0.01048758,0.3366134,-0.001760608,-0.03408496,0.0002346488
14000231,25.96901,0.009864134,-4.64163,-0.001703739,0.02332499,0.008888313,-0.2101792,0.007461203,0.5414214,-0.003544202,-0.04278919,-0.0002521698
14999831,25.75463,-0.003455478,-4.120683,-0.0004780349,-0.003338804,0.008798024,-0.1459526,0.005203632,0.4878711,0.0009342015,-0.01337007,0.0003780347
16000264,25.65174,-0.02956049,-3.622913,0.002398929,-0.007820698,0.008520395,-0.03978597,0.0178087,0.4845271,0.0007672827,-0.0002633621,0.001726107
16999864,25.65045,-0.05271622,-3.123705,0.004767065,-0.002052544,0.008494274,0.009338427,0.0376193,0.4866045,0.0009538251,0.004228226,0.0009643601
18000297,25.68313,-0.05840096,-2.623512,0.00461478,0.001835059,0.008682135,-0.000852143,0.04758247,0.4890627,0.004860878,0.004096252,0.001526304
18999897,25.70924,-0.05617516,-2.122473,0.002986791,0.002564245,0.008570422,-0.02328883,0.05895137,0.4860196,-0.001334631,0.005591085,0.001184637
