Time_us,accel_x,accel_y,accel_z,pos_x,pos_y,pos_z
1029588,-0.0343576002426729,0.0709767811326852,0.338236283296493,0.01292351,-0.0141986,1.237609
1072071,-0.0858261735333621,0.0610328219350874,0.214640741694399,0.01173746,-0.0130438,1.327787
1219512,0.0318803978814371,0.0534715509241053,-0.0518111474187069,0.008157603,-0.008834621,1.640994
1289484,-0.0826807343807853,-0.030453821950625,-0.117323427986106,0.00680066,-0.007068216,1.792238
1371951,0.0245074629493471,-0.0232340237176023,-0.118459191415104,0.004775587,-0.004764402,1.97184
1524390,0.027185854740273,-0.0564325887005797,0.0274205208444787,0.001598174,-0.0004134146,2.296422
1611855,-0.089261306641626,0.0700902877085673,0.0320300141069548,-0.0002000522,0.002252985,2.480623
1731807,-0.0673517122292806,-0.0521170505187184,0.0135029248854239,-0.002960139,0.005505256,2.725448
1845095,-0.00818932177793449,0.0960049284716752,0.0162172587657966,-0.00510154,0.007960718,2.946161
1942556,-0.0647220782625537,0.0360437384069708,-0.0880420349921741,-0.007517143,0.01124492,3.128358
2062508,-0.0518245609144585,0.0730248407934439,-0.018796219638238,-0.009414107,0.01415214,3.339984
2234939,-0.0274131783738305,0.0377046034823322,-0.0434379508333266,-0.01226021,0.01997831,3.618313
2417366,-0.0702431133712667,0.00604813252070274,0.0397734944968027,-0.01427213,0.0250908,3.874194
2564807,0.0291704568276626,0.039779009177933,-0.048929821078778,-0.01525336,0.0299812,4.051412
2744735,0.0524169810704493,-0.0239739780028344,0.0176480435977606,-0.01716295,0.04116679,4.233028
2894675,0.0832018195760987,-0.0236681221890646,0.00995263496777972,-0.01894895,0.05777562,4.357241
2989637,-0.057954802276325,0.0291032140367666,-0.0871512189257424,-0.02003589,0.07352272,4.424072
3127082,-0.0812604854766049,0.0108753611583212,0.0450600274197911,-0.02131522,0.104059,4.509565
3209549,-0.114658069292743,-0.0421628113960039,0.00354961898010941,-0.02201675,0.1265993,4.554113
3314507,-0.0936217552792852,0.0256937239521522,0.00813468301738854,-0.02257918,0.1607053,4.60425
3464447,-0.0623542458002345,-0.0182727315930198,0.0318812533680601,-0.02300303,0.2208184,4.66547
3579401,-0.0373234436964592,-0.0920981123196847,-0.0346890452855391,-0.02426076,0.2758206,4.705781
3686858,-0.103172205758116,-0.069115911477178,0.00389521569331968,-0.02460307,0.3362199,4.738213
3779321,-0.113848283783706,-0.0193325530297311,0.00284813752166775,-0.02530367,0.3934413,4.763047
3862621,-0.126467550522175,0.000157418231694384,-0.0293013190043702,-0.02515945,0.4504446,4.78284
3960082,-0.103807173250132,-0.00363102631626542,-0.0418838692630931,-0.02562673,0.5220557,4.804148
4050046,-0.0787040055329033,0.0740527197292772,-0.0440854602182818,-0.02541866,0.5939893,4.821531
4107523,-0.1836654404552,0.0275606008970658,0.00436434152275056,-0.02507016,0.6421063,4.831705
4187491,-0.0803078163394604,0.0553604125186014,-0.0812302891855981,-0.024119,0.7134774,4.844838
4302445,-0.0389310365638902,-0.00512269875422072,-0.0820499308513888,-0.02221679,0.8238277,4.861782
4409902,-0.102478699929956,-0.00355872996846767,0.0299582563581579,-0.02014277,0.9357247,4.875685
4532353,-0.0622345620479618,0.0515025257771596,0.0233894280960238,-0.01778469,1.071123,4.889177
4614820,-0.0948242284886913,-0.0343341553997644,-0.0693724648216396,-0.01599739,1.168785,4.897444
4737271,-0.0375165144191544,-0.0350851392956628,-0.064416732619712,-0.01372186,1.320452,4.908194
4824736,-0.09194008373001,-0.0731369197054642,0.0228819905724237,-0.01222739,1.436043,4.915269
4912201,-0.0180447271637061,-0.0246267651770766,-0.116309935609658,-0.01077759,1.555432,4.921309
5024656,-0.0585700725485207,-0.0685072193663335,-0.0251730061822938,-0.008894837,1.718295,4.92863
5157103,-0.0659130285263465,-0.013754729787744,-0.0512579931325224,-0.006059843,1.920523,4.935823
5234572,-0.113561194124858,-0.0588645610517664,-0.0453506986498275,-0.004349556,2.044023,4.939658
5332033,-0.0977580359506688,0.0320592225118523,-0.0122683303536572,-0.002379001,2.206644,4.943834
5429494,-0.0500121822678099,-0.0873909912514119,-0.0469041158872369,-0.0005686313,2.37361,4.947614
5521957,-0.110770381539255,0.030018459900176,0.0274021588247303,0.0009095975,2.540062,4.950743
5639410,-0.0240273310023694,-0.0426294097359462,-0.0731854057416375,0.002816313,2.756855,4.954431
5774356,-0.0801716579599758,0.0269350732429454,-0.00252711175876724,0.004229853,3.017913,4.958006
5894308,-0.059618613823416,0.0425838534825364,0.0484963767060355,0.005229889,3.258731,4.960821
5972610,-0.11934155184951,-0.0578277686018566,-0.0469459149823224,0.005828748,3.419728,4.962364
6060075,-0.120174549368888,0.0146331295364205,-0.0283675018761635,0.006526617,3.604513,4.964198
6177528,-0.0746448868108367,0.0107783962425492,-0.0418270907975923,0.006916055,3.858526,4.965654
6272490,-0.103973334150954,-0.034593859544194,0.0164073667890663,0.007057132,4.068366,4.967173
6354957,-0.114491155744614,-0.0441583334518932,-0.0600778881013158,0.006846759,4.256232,4.967921
6439923,-0.118350485400866,-0.00979073607388435,-0.0190478579167815,0.006548976,4.450623,4.96895
6567372,-0.0675918790027019,0.0326550074900278,-0.0399444470298323,0.006803617,4.74801,4.969812
6672330,-0.0553029488083388,0.0899954749575482,-0.0549554304761072,0.007148361,4.997698,4.970732
6779787,-0.0360797866582631,0.0770164713160672,0.0564087839026538,0.007924057,5.260767,4.97098
6914733,-0.00779572250111475,-0.0645231557696349,-0.0507728223429863,0.008935776,5.594886,4.971381
7024689,-0.0662457835380905,-0.0483555939065396,-0.0460960387789284,0.009429096,5.870978,4.972155
7174629,-0.0680596506145373,0.00266100019183702,-0.0076792579384135,0.009960921,6.252426,4.972574
7347060,-0.0526629386604673,0.00438953445692094,-0.048002327147605,0.0103608,6.70381,4.973157
7462014,-0.0493249800247512,0.0751904299483544,-0.00911710863957142,0.01068136,7.007413,4.97372
7576968,-0.0742310471627044,-0.0279702698120121,-0.0375826142583483,0.01104874,7.317522,4.973452
7754397,-0.0783541942401206,-0.00122409682031057,0.0135093203012422,0.01024041,7.797856,4.973963
7886844,-0.0620901846920283,-0.0160476016282348,-0.0434422874243684,0.008842519,8.161613,4.974461
8032619,-0.0731594917942359,-0.032438208115968,0.0406542313580332,0.006333432,8.56212,4.974741
8150072,-0.0848638903937502,-0.00998565925384407,-0.0284853868742696,0.004167657,8.889687,4.974558
8285018,-0.0799509608576136,0.0101148227633138,-0.0149911862199212,0.001873267,9.264275,4.975087
8409968,-0.0741188880463167,0.0358573860470241,-0.000137811764375256,-0.0004385995,9.614358,4.975207
8509928,-0.0653493204544515,0.074751113139878,-0.0196028207291794,-0.002035985,9.89512,4.975409
8637377,-0.0577838487254628,0.0436865488891796,-0.0480706562644103,-0.003869691,10.25337,4.97542
8807309,-0.0268027049679666,0.00465955550403075,-0.0550934130701288,-0.005462436,10.73435,4.976086
8929760,-0.0818840425210738,-0.0183487997213184,-0.0131499590543211,-0.006431574,11.08457,4.976396
9072203,-0.00653337803660364,-0.0759791866068402,0.00889623047518978,-0.007430211,11.48964,4.976817
9187157,-0.0898484472298677,0.0157203423504662,8.31527449711822e-05,-0.008266835,11.82129,4.976804
9329600,-0.0518132122353778,-0.0272219505825471,-0.0429724914269539,-0.009587655,12.23071,4.97714
9427061,-0.108003567249833,0.00827267429952,-0.0338159812403961,-0.0107977,12.51411,4.977319
9534518,-0.0821466538997407,0.0432296784555155,-0.0364160471051648,-0.01208759,12.82432,4.977643
9686957,0.0692300325922887,-0.0504366401190588,-0.0150495749650754,-0.01442681,13.26953,4.977703
9824402,-0.00571093913969272,-0.0791678593715514,-0.0393020355177355,-0.01756442,13.67019,4.977957
9936857,-0.0948255298167089,-0.0173643417872331,-0.00492662979028094,-0.0205659,14.00227,4.978099
10112620,0.00188237282888542,-0.0410652592302303,-0.0466909888173723,-0.0248847,14.51652,4.978466
10250065,-0.0478161202952752,-0.0464708304728417,-0.0590313357462269,-0.02760313,14.92209,4.978917
10357522,-0.0263376699969701,0.012273807694474,-0.0902819720843418,-0.0302961,15.23841,4.979302
10519957,-0.00928529193667835,-0.0645344674997937,0.0274727100280983,-0.03440208,15.72036,4.979882
10692388,-0.040930765298806,-0.0679525830454043,-0.0257769514819782,-0.03890125,16.23059,4.980091
10847326,-0.0437787293324701,-0.0598175123596784,0.0344074232363016,-0.04228073,16.69081,4.980408
10972276,-0.0370582799579009,-0.00281291721700033,-0.0829853568701403,-0.04559058,17.06267,4.980585
11114719,-0.0179503673709826,-0.0455100003186738,-0.0612458338275707,-0.04877539,17.48718,4.980957
11229673,-0.0110002277936844,-0.0844482121429462,-0.0258041152649949,-0.05119517,17.82902,4.981136
11374615,-0.0340666057320473,-0.0810715127652346,-0.0166976092973015,-0.05481045,18.25853,4.980999
11504563,0.0385576030779527,-0.0762018953533923,-0.00239446968103534,-0.05765449,18.64537,4.981161
11629513,0.048927736945261,-0.0291747150894461,-0.0600507317943057,-0.05999861,19.01603,4.98141
11766958,0.0627095659062391,-0.0398596776754314,-0.00714166832827746,-0.06203597,19.42024,4.981825
11871916,0.0533764973145512,-0.0832973147031096,0.0307287687889787,-0.06200798,19.72159,4.981981
12004363,0.0351201240744055,-0.0431509733502714,-0.0581303182733274,-0.0588527,20.09296,4.982492
12121816,-0.0278690303348143,-0.0633564288708614,0.0608634457074514,-0.05147403,20.41579,4.982944
12270090,-0.0683514039493273,-0.0206015016623516,0.0165058850884203,-0.03162818,20.80249,4.983559
12417531,0.0287022694440842,-0.067348680467234,-0.00555954956463365,0.00712882,21.15801,4.984259
12532485,0.0056600187547116,-0.0865223290282891,0.0528170182377344,0.05701656,21.40026,4.984162
12639942,0.0340296503080741,-0.0900993151687702,0.0562076224262934,0.121661,21.59206,4.983324
12699918,0.151547076845562,-0.0957120618793453,-0.0458624156038265,0.164153,21.68611,4.982872
12779886,0.0843022203711419,-0.0743268897409056,-0.0665792721799751,0.2298784,21.79556,4.982307
12839862,0.136216080803999,-0.112306028369459,-0.0041722732345859,0.2862099,21.86621,4.981892
12882345,0.156212444934318,-0.176759995844495,-0.0234115786488511,0.3288754,21.91175,4.981729
12924828,0.192032059131261,-0.148260252920034,-0.0198124236826881,0.3727823,21.96111,4.981704
12964812,0.16105459571223,-0.208033250243978,0.0222554590944966,0.4170679,22.00218,4.981817
