Time_us,x,y,z,roll,pitch,yaw,V_x,V_y,V_z,Gyro_x,Gyro_y,Gyro_z
2000033,0.008697538,-0.009115119,-2.186296,0.003147722,0.0009087237,0.009163481,0.02161543,-0.02841574,-2.171897,0.01142095,-0.004317966,0.0004538557
2999633,0.04822192,-0.05254598,-4.009098,0.01876632,0.01818674,0.003815409,-0.02830725,0.02632057,-1.166301,0.06039702,0.0653071,-0.0003451672
4000066,0.133143,-0.02033868,-4.704547,0.003572308,-0.09951741,0.003891581,0.3175802,0.07965661,-0.2732878,-0.01004946,-0.06657017,0.001348241
4999666,0.8624993,0.01436036,-4.875883,0.0003219258,-0.14885,0.003329669,1.110858,0.05118308,-0.09978577,0.002435733,-0.02671475,0.0003277939
6000099,2.375542,0.01562024,-4.941251,-0.004014896,-0.2157475,0.01804948,1.905399,0.02900711,-0.0484971,0.00287338,-0.06875014,-0.01871372
6999699,4.764997,-0.001359815,-4.96389,0.0006819965,-0.2655601,0.004836209,2.801127,0.02995705,-0.03002456,-0.0004043344,-0.01458811,0.006353857
8000132,7.959632,-0.02398552,-4.972771,0.000657296,-0.2794168,0.009404086,3.461837,0.01978528,-0.0238787,0.008112249,-0.01096991,-0.003256343
8999732,11.70953,-0.04174148,-4.97814,0.002818236,-0.2893878,0.00864075,3.89045,0.02836893,-0.02022653,0.006566265,-0.01746457,0.0008769676
10000165,15.8243,-0.04898413,-4.981781,0.002818226,-0.2953451,0.008696525,4.182029,0.02492413,-0.01582038,0.005901678,-0.00492426,-0.002561881
10999765,20.17476,-0.05440298,-4.984944,0.003360978,-0.3001433,0.008070962,4.375687,0.02825389,-0.01586039,-0.001846983,-0.009285692,-0.001262485
12000198,24.68376,-0.05105959,-4.986126,0.004058125,-0.3040877,0.007004067,4.518702,0.03023073,-0.01244116,-0.003713039,-0.006307827,-0.001980314
12999798,29.30593,-0.04272817,-4.989295,0.003188859,-0.3084953,0.005775641,4.619962,0.02554709,-0.01054167,0.002507349,-0.0006406771,-0.00190842
14000231,34.0162,-0.03839174,-4.992415,0.004201564,-0.3102577,0.004745948,4.700985,0.02213447,-0.009568165,0.005545583,-0.003607059,-0.001481096
14999831,38.79166,-0.03896842,-4.991827,0.005048774,-0.3119619,0.003989824,4.758034,0.0151356,-0.004430555,0.004883613,0.003864439,-0.0008525228
16000264,43.61294,-0.04439215,-4.992227,0.005844296,-0.3140394,0.004215223,4.803095,0.01246752,-0.00673295,0.002566453,0.0005895781,-0.00023169
16999864,48.48021,-0.6934373,-4.985165,0.3148256,-0.3132181,0.02794896,4.841405,-0.9803191,0.01238354,-0.02158986,0.001081215,0.08477313
17999464,53.35518,-1.513364,-4.980445,0.3346357,-0.353542,0.1231698,4.871,-0.5439298,-0.01000406,0.0335347,-0.001924712,0.05773435
18999897,58.2729,-1.845555,-4.985725,0.3457137,-0.3606387,0.1459405,4.894122,-0.02822398,-0.01576619,0.0118185,-0.002605262,0.005846744
19999497,63.21252,-1.748523,-4.991724,0.3431237,-0.3600872,0.1439843,4.91002,0.2620684,-0.009944459,-0.003052101,0.005192486,-0.01927806
20999930,68.16368,-1.027682,-5.002557,0.06109162,-0.3235823,0.1109689,4.90811,1.43037,-0.03292099,-0.2965102,0.03553997,-0.08640242
21999530,73.11777,0.234406,-5.009143,0.01978697,-0.3133174,6.270078,4.907703,1.050351,0.005507796,-0.06054921,-0.00217465,-0.09790649
22999963,78.06306,0.9920138,-5.003929,0.005482705,-0.3160434,6.206787,4.915392,0.4254026,0.00389524,-0.01040365,-0.001290765,-0.03849184
23999563,82.99049,1.197904,-5.000161,0.01082659,-0.3183739,6.184291,4.927511,0.005258142,0.002769651,0.007676172,0.00117123,-0.002770116
24999996,87.90851,1.068884,-5.006744,0.001871236,-0.2445551,6.191298,4.815675,-0.2058697,-0.0406655,-0.02779987,0.1808396,0.001996918
25999596,92.33191,0.7701545,-5.07146,-0.001140035,-0.1572606,6.188116,3.937175,-0.3108261,-0.08168194,0.000181469,0.08990073,3.024083e-05
27000029,95.77964,0.4265593,-5.152539,-0.004608887,-0.06210431,6.189454,2.825637,-0.3121408,-0.07265236,0.0009474771,0.1077979,0.00101994
27999629,97.99648,0.1365784,-5.209247,0.0001707697,0.07717504,6.188883,1.417951,-0.2219308,-0.03994814,0.01674102,0.1274624,0.001887191
29000062,98.77012,-0.000890556,-5.234589,0.002282828,0.06987899,6.189156,0.1684553,-0.06593583,0.0473584,-0.0007323749,-0.05936975,0.0004985166
29999662,98.73401,-0.02173335,-4.915022,-0.001559498,0.0284746,6.189333,-0.2056843,-0.0003695792,0.5428149,-0.002996603,-0.04429276,8.477856e-05
31000095,98.52934,-0.03296382,-4.379842,-0.0005131901,-0.0006594833,6.188836,-0.1835271,0.01199471,0.5082471,0.003876118,-0.02270311,0.001318936
31999695,98.41505,-0.07299939,-3.878364,0.003606988,-0.004477944,6.188372,-0.07248866,0.02502513,0.4878761,0.01558526,-0.002288722,0.002866067
