Time_us,x,y,z,roll,pitch,yaw,V_x,V_y,V_z,Gyro_x,Gyro_y,Gyro_z
0,0.2082379,-0.1766756,-1.984469,-0.008464457,-0.01957365,0.5124952,-0.1914676,0.2706525,-2.060403,-0.233399,-0.1859972,0.2621978
20620,0.2048386,-0.1698541,-1.984789,-0.0122889,-0.02359324,0.5130548,-0.1884635,0.2749721,-2.05011,-0.1787799,-0.1968996,0.2526211
31624,0.2036235,-0.1667841,-1.980683,-0.01389147,-0.02500254,0.5143049,-0.1831344,0.2831743,-2.037422,-0.1597132,-0.1824312,0.2464093
40972,0.2018367,-0.1639359,-2.000789,-0.01548048,-0.02619013,0.5151067,-0.1807991,0.2876041,-2.038011,-0.1498479,-0.1566024,0.2444851
50832,0.2005159,-0.1605638,-1.999489,-0.01705182,-0.02695869,0.5159463,-0.1723305,0.2929122,-2.031271,-0.1474734,-0.1232301,0.2428272
61435,0.1992239,-0.1571869,-1.999087,-0.01850973,-0.02741008,0.5168382,-0.1619022,0.2954185,-2.022284,-0.1494547,-0.08275735,0.2387114
71407,0.1979743,-0.1538071,-1.999618,-0.01987966,-0.02762054,0.5178356,-0.1496684,0.299793,-2.01557,-0.155407,-0.04430814,0.235808
81433,0.1967826,-0.1504191,-2.001032,-0.02124413,-0.02757947,0.5190539,-0.1450333,0.299033,-2.010196,-0.1577637,-0.01222868,0.2325591
90913,0.1952511,-0.1474501,-2.021167,-0.02237829,-0.0273953,0.5204265,-0.1427057,0.3009827,-2.00847,-0.1509949,0.009190309,0.2294295
100877,0.194181,-0.1440226,-2.023504,-0.0232968,-0.02711286,0.5218633,-0.14123,0.3021902,-2.000911,-0.1326118,0.02050441,0.2253589
110889,0.1931443,-0.1405979,-2.02664,-0.02400531,-0.02676674,0.5233623,-0.1357531,0.3005476,-1.998235,-0.1038119,0.02410106,0.2218595
121664,0.1921504,-0.1371667,-2.029218,-0.02435016,-0.02641301,0.5247813,-0.1294037,0.2995989,-2.002006,-0.06185792,0.0222093,0.2193441
131416,0.1911919,-0.1337492,-2.03259,-0.02427443,-0.02614364,0.5256532,-0.1191004,0.2996822,-2.010443,-0.006829106,0.01528723,0.2163455
140695,0.189902,-0.1307203,-2.052774,-0.02373855,-0.02594522,0.5266914,-0.1144483,0.3030514,-2.01985,0.04586523,0.005632631,0.2115879
150986,0.1890396,-0.1272998,-2.056989,-0.02292399,-0.0257561,0.527818,-0.11437,0.3034651,-2.020861,0.08454129,-0.0004678171,0.2063125
160694,0.1882138,-0.1238775,-2.061948,-0.02194362,-0.02553904,0.5289178,-0.1193453,0.3025841,-2.012033,0.1017754,0.0005546897,0.199222
171418,0.1874077,-0.1204392,-2.067656,-0.02133247,-0.02528435,0.5299642,-0.1161247,0.299091,-2.009061,0.09623593,0.006634777,0.1937238
181408,0.1866219,-0.116973,-2.074029,-0.02130466,-0.02494997,0.5310382,-0.1070106,0.3047786,-2.018825,0.07018737,0.01344157,0.1915559
190956,0.1855113,-0.1137834,-2.094286,-0.02177649,-0.02461908,0.5322305,-0.09919707,0.3146524,-2.038285,0.03141527,0.01645773,0.1930072
200901,0.1847722,-0.1102491,-2.10133,-0.02254288,-0.02429984,0.5334989,-0.1016906,0.3282266,-2.051242,-0.01093582,0.01314379,0.1959296
210864,0.18406,-0.106707,-2.109002,-0.02341486,-0.02411977,0.5348864,-0.1097074,0.3241306,-2.047545,-0.05315785,0.008710424,0.2006426
224978,0.1840112,-0.1027335,-2.114469,-0.02402989,-0.02395678,0.5369516,-0.1003145,0.3161407,-2.031072,-0.09218922,0.008991341,0.2066774
234468,0.1838151,-0.09837535,-2.122857,-0.0251194,-0.02319423,0.5392,-0.09263763,0.3531096,-2.023568,-0.1164932,0.02217752,0.2124223
243678,0.1838676,-0.09461261,-2.127929,-0.02603395,-0.02254076,0.5419139,-0.09790678,0.3385775,-2.00344,-0.1206955,0.04245895,0.2127488
254391,0.1839423,-0.09084761,-2.133619,-0.0270362,-0.02153207,0.5446323,-0.09710437,0.3305925,-1.996206,-0.1132721,0.06930669,0.2133444
263644,0.183138,-0.08739819,-2.153796,-0.02816347,-0.0202297,0.5473204,-0.08575714,0.326997,-2.007506,-0.09768495,0.09580769,0.2130072
273654,0.1832783,-0.08361482,-2.16005,-0.02913011,-0.01878075,0.5499391,-0.07523647,0.3306148,-2.019285,-0.07732422,0.1197017,0.2108902
284437,0.1834332,-0.07983453,-2.166897,-0.02987507,-0.0171889,0.5525196,-0.07530811,0.338578,-2.027854,-0.05078167,0.1352789,0.2052494
293646,0.1835752,-0.07605387,-2.174358,-0.03024215,-0.01557456,0.5549242,-0.07813265,0.3458959,-2.029694,-0.02483604,0.140619,0.1977427
304405,0.1836841,-0.07227784,-2.182359,-0.03057751,-0.01397629,0.5571646,-0.06657825,0.3518088,-2.039262,-0.007794874,0.1386568,0.19072
313666,0.1829992,-0.06876507,-2.202358,-0.03069492,-0.01247871,0.5593802,-0.05372184,0.3594528,-2.04919,-0.0002493631,0.1353488,0.1844273
323591,0.1831394,-0.06493562,-2.208932,-0.03050848,-0.01121467,0.5611475,-0.04850211,0.3606141,-2.018103,-0.007574063,0.1367213,0.1784693
