Time_us,x,y,yaw,V_x,V_y,Gyro_z
999999,0,0,1.384691,0.1202697,1.116724,0.1212199
1100107,-0.00826999999999956,0.12134,1.396385,0.09097841,1.094982,0.1063336
1199977,-0.023889999999998,0.23433,1.406719,0.08758467,1.072897,0.1028825
1300159,-0.0389599999999994,0.3428,1.416128,0.04701869,1.043624,0.08936762
1399983,-0.0594199999999994,0.446270000000002,1.422727,0.02469543,1.0269,0.06761958
1500113,-0.0772999999999975,0.54908,1.429921,0.008431023,1.075633,0.06357755
1599980,-0.0970999999999975,0.64977,1.435924,-0.01228623,1.063392,0.06262071
1700109,-0.114519999999999,0.747129999999999,1.439873,-0.03925204,1.023818,0.03814805
1800029,-0.133429999999997,0.83792,1.439038,-0.06639238,0.9638627,-0.008251687
1900116,-0.149759999999997,0.9269,1.434643,-0.04809688,1.000966,-0.05007079
2000019,-0.167779999999997,1.0189,1.429367,-0.03522043,1.013243,-0.05282145
2100008,-0.181859999999997,1.11354,1.424115,-0.05465002,1.033101,-0.05234922
2199984,-0.203719999999997,1.21113,1.417398,-0.04495294,1.034622,-0.06480113
2300013,-0.219199999999997,1.31087,1.409585,-0.05725843,1.061844,-0.07689937
2399983,-0.237499999999997,1.40969,1.399818,-0.02476494,1.077353,-0.09457932
2500119,-0.252219999999998,1.50944,1.390595,-0.04426397,1.05733,-0.08905452
2599982,-0.267989999999998,1.59896,1.381096,-0.06759664,0.9913857,-0.09092961
2700100,-0.28097,1.68833,1.368083,-0.03086236,1.011078,-0.1290337
2799989,-0.290589999999998,1.77765,1.35354,-0.02870028,1.025414,-0.1392534
2900100,-0.296159999999997,1.87066,1.337069,-0.007140715,1.032203,-0.1599524
3000016,-0.297289999999997,1.96506,1.320449,0.01299877,1.047876,-0.1668681
3100092,-0.295099999999998,2.06526,1.302547,0.02565176,1.06717,-0.1774601
3199982,-0.29233,2.16962,1.287048,0.03941137,1.049984,-0.1497333
3300119,-0.28735,2.27115,1.273611,0.05997865,0.9996464,-0.1324948
3399991,-0.283749999999998,2.37518,1.256671,0.05029626,1.046856,-0.1533335
3500123,-0.276589999999999,2.48064,1.244694,0.0828331,1.053684,-0.1292534
3599988,-0.270579999999999,2.58617,1.232202,0.1141153,1.062205,-0.1269615
3700106,-0.261819999999997,2.69266,1.221008,0.1449537,1.018244,-0.1234928
3799968,-0.254399999999997,2.80211,1.20574,0.1421947,1.051262,-0.1438913
3900085,-0.246869999999998,2.90683,1.20056,0.1154247,0.9927827,-0.06128724
3999988,-0.236099999999997,3.0135,1.193705,0.1900982,1.009834,-0.05693351
4100087,-0.224889999999998,3.12162,1.185764,0.1612374,1.033673,-0.1079852
4199985,-0.215029999999999,3.22758,1.185422,0.1569934,1.065294,-0.01062778
4300092,-0.204759999999997,3.33437,1.182904,0.1325643,1.02171,-0.01909476
4399968,-0.195689999999999,3.43982,1.180067,0.1343193,1.016608,-0.03437397
4500114,-0.185789999999997,3.54208,1.178761,0.1247861,1.027932,-0.01437411
4599968,-0.175459999999998,3.64,1.177477,0.1553456,1.04381,-0.01762405
4700119,-0.16405,3.74313,1.173651,0.1546024,1.070343,-0.03404195
4799973,-0.150959999999998,3.8544,1.173044,0.1618343,1.07069,-0.01170751
4900089,-0.136129999999998,3.96186,1.173444,0.151419,1.032703,0.004859061
5000023,-0.124149999999997,4.06958,1.174183,0.132211,1.012465,0.003118579
5100085,-0.111149999999999,4.17503,1.176417,0.1402144,1.008646,0.02324521
5199970,-0.0995499999999971,4.28457,1.17878,0.1492539,1.042287,0.01610559
5300086,-0.0863299999999967,4.39312,1.180402,0.1549836,1.070764,0.0144771
5399995,-0.0695499999999996,4.4972,1.18534,0.1487473,1.057734,0.04000476
5500099,-0.0544699999999985,4.598,1.190415,0.1418301,0.9971966,0.04674235
5599965,-0.0427799999999969,4.69756,1.194104,0.1262112,0.9758117,0.03362231
5700081,-0.0303100000000001,4.79681,1.198718,0.1557197,1.003861,0.03872052
5799977,-0.0160099999999979,4.90021,1.203469,0.1336281,1.025751,0.04641273
5900107,-0.000669999999999504,5.00317,1.210861,0.1585836,1.01792,0.05992423
5999997,0.0129400000000004,5.10303,1.215878,0.1248536,0.9895124,0.0486123
6099983,0.0256900000000009,5.20142,1.224074,0.1232519,1.018287,0.07527885
6199967,0.0339000000000027,5.30214,1.231186,0.103714,1.041423,0.0702562
6300102,0.0427100000000031,5.40527,1.23783,0.1060158,1.033265,0.06538875
6399965,0.0478700000000032,5.50671,1.246313,0.07913385,1.019214,0.08512593
6500106,0.0522800000000032,5.60455,1.252566,0.067371,0.9818449,0.07036928
6599986,0.056280000000001,5.70534,1.258328,0.07559761,1.025423,0.05515163
6700091,0.0614200000000018,5.80771,1.265117,0.07438789,1.049157,0.06485222
6799983,0.0673600000000008,5.908,1.272898,0.07439136,1.037567,0.07736981
6900121,0.0723600000000033,6.00493,1.278786,0.06401093,0.9973583,0.06200096
7000004,0.0735900000000029,6.09758,1.284471,0.0301041,0.9932795,0.05386546
7100112,0.0777100000000033,6.19365,1.292022,0.05176055,1.028321,0.07767898
7199959,0.0849000000000011,6.2909,1.301286,0.04583745,1.054865,0.08913285
7300104,0.0901800000000001,6.39032,1.307184,0.03631428,1.043362,0.06495261
7399986,0.0920100000000019,6.48956,1.314359,0.01711551,0.9956548,0.07136185
7500098,0.0918800000000033,6.58359,1.322572,-0.008812928,0.964884,0.08190842
7599968,0.0895100000000006,6.67473,1.330233,0.004723534,0.9729735,0.08268493
7700233,0.0868500000000019,6.76814,1.336416,0.005819207,1.001856,0.05834318
7799894,0.0803200000000004,6.86107,1.345819,-0.008171062,1.007816,0.09119625
7899926,0.0737300000000012,6.95761,1.353271,-0.01246813,1.008878,0.07366834
7999888,0.064230000000002,7.05515,1.356979,-0.01183439,1.028296,0.03119469
8099875,0.0576700000000017,7.15538,1.365252,-0.03225915,1.039207,0.07621802
8199861,0.0459600000000009,7.25369,1.372159,-0.04545634,1.04924,0.0697116
