Time_us,angl_accel_z
1055068,3.76846306966373
1095094,4.03860552807758
1135182,3.95108363945983
1175124,3.84514860611027
1215070,3.75001667442613
1280023,2.84370368532646
1359997,2.31084924226375
1439984,2.27632327849687
1520002,2.18047737327313
1839999,-0.637715556949597
1935178,-1.93849415312875
2000024,-2.7194230866556
2055192,-3.34574640146524
2095093,-3.59673905982868
2135181,-3.80020146072371
2175141,-3.94219239254591
2215064,-3.99939385843014
2255085,-4.08507058200308
2295076,-4.2270495267125
2335183,-4.41617747915689
2375114,-4.65367709625459
2415060,-5.07042391654802
2455066,-5.64039508117157
2480013,-5.99054756440001
2519978,-6.71404650375809
2559985,-7.44478437635157
2575155,-7.69427800715811
2600041,-7.88418240383627
2615062,-7.95652686923446
2639980,-8.07614656297206
2655063,-8.16407445494818
2680021,-8.27134573571
2695102,-8.4075908830104
2720020,-8.5392636552854
2735174,-8.63794894645995
2759997,-8.77059808169871
2775100,-8.93960948927131
2799996,-9.1480588201335
2815051,-9.41748199169858
2840031,-9.64792489536575
2855081,-9.80164772288912
2880083,-9.92657408321268
2895086,-9.98992131472547
2919998,-10.0462419587968
2935175,-10.0633231215192
2959989,-10.0805148882677
2975094,-10.0773374029284
3000004,-10.0954852516947
3015054,-10.1016173297146
3039982,-10.1068261996411
3055061,-10.1088637936479
3080042,-10.1378940935653
3095089,-10.1773438449227
3119987,-10.2097017273673
3135189,-10.2625062689185
3160018,-10.3127487413776
3175164,-10.3311036377979
3200053,-10.3082700032889
3215083,-10.2549578941691
3240009,-10.2126931271677
3255090,-10.2228124454976
3280026,-10.1828637106557
3295075,-10.1414202030183
3320020,-10.1098264905814
3335194,-10.0943293939206
3359996,-10.0910076552539
3375136,-10.0981719286937
3400006,-10.1170983712831
3415076,-10.1235031181634
3439990,-10.113417480676
3455066,-9.99498013918393
3480065,-9.90568117022831
3495081,-9.73476225442153
3520006,-9.51158866402415
3535175,-9.13350828417536
3560010,-8.69895126119066
3575082,-8.14039936889953
