Time_us,x,y,yaw,V_x,V_y,Gyro_z
7699982,-6.570532,-0.380298,3.105697,-0.9865763,-0.02044,0.063433
7799931,-6.667362,-0.388368,3.113373,-0.9757248,-0.02919242,0.06754084
7899923,-6.764124,-0.39686,3.120072,-0.9774936,-0.01988006,0.06757791
8000030,-6.860837,-0.404737,3.127533,-1.007203,-0.03849602,0.07050133
8099937,-6.958229,-0.410957,3.135067,-0.9708644,-0.03596622,0.07849757
8199932,-7.055796,-0.420604,3.14256,-0.9752645,-0.06445024,0.07632225
8299993,-7.156332,-0.431796,3.148848,-0.9870136,-0.07619722,0.06649178
8399929,-7.256887,-0.440744,3.156851,-0.978898,-0.05648964,0.07125805
8499971,-7.35919,-0.450135,3.160518,-0.9819235,-0.07545513,0.04015478
8599997,-7.459068,-0.46361,3.167437,-0.9824207,-0.1212157,0.05472577
8699920,-7.558115,-0.478009,3.169504,-0.9987531,-0.06533257,0.04101071
8799954,-7.659308,-0.495228,3.170738,-1.014098,-0.1395298,0.006545387
8899983,-7.762218,-0.509338,3.174621,-1.015616,-0.0596083,0.03197275
8999990,-7.864979,-0.524412,3.176379,-0.997748,-0.1127063,0.01245371
9099926,-7.968176,-0.53904,3.179876,-0.9839266,-0.1293911,0.0294433
9200002,-8.069829,-0.556768,3.181583,-0.9804326,-0.1298661,0.02520069
9299937,-8.170712,-0.574607,3.185731,-0.9824622,-0.1598724,0.03609967
9399928,-8.271402,-0.59105,3.188987,-0.9765962,-0.1494845,0.03319016
9500019,-8.372239,-0.606088,3.19,-0.9794521,-0.0980965,0.004619904
9599941,-8.474856,-0.619014,3.191149,-0.996237,-0.113696,0.009523571
9699922,-8.582504,-0.632361,3.190062,-1.028709,-0.1429992,-0.01471432
9800005,-8.695356,-0.648182,3.188302,-1.062128,-0.1171585,-0.01813543
9899921,-8.807287,-0.663869,3.186352,-1.0195,-0.1608882,-0.01311135
9999998,-8.919355,-0.679135,3.184569,-1.029609,-0.1253323,-0.01899857
10100000,-9.031079,-0.692781,3.18199,-1.036043,-0.1099592,-0.02240064
10199937,-9.14379,-0.706559,3.17783,-1.04826,-0.1278788,-0.03040594
10299942,-9.256545,-0.720004,3.1769,-1.029428,-0.1117104,-0.01320751
10400004,-9.366581,-0.734723,3.171464,-1.02569,-0.1193438,-0.04394672
