Time_us,angl_accel_z
1299961,0.605913726581882
1420117,1.35769729901347
1520031,1.46128625559672
1620142,1.46054859234672
1760043,1.05682886568198
1960054,0.81355391191651
2260075,-0.479961558765123
2379968,-1.32235262824565
2459992,-1.85576241921604
2540016,-1.843210443098
2640015,-1.73072212914264
2720001,-2.05887930698938
2799973,-2.43816478006993
2860050,-2.66606964015247
2920055,-2.68872649235901
2979996,-2.6318675346277
3040055,-2.63562625998449
3100021,-2.79487270666111
3160077,-3.03498512360912
3220135,-3.01991915889104
3279960,-2.92853765011477
3340031,-2.92574575871779
3400002,-3.11083355063103
3460071,-3.42765258659687
3520039,-3.50496927755651
3580004,-3.54400474309436
3640060,-3.49054111048501
3699955,-3.59059700763394
3740036,-3.69109449065747
3780002,-3.72660446808761
3820128,-3.7177878549615
3859991,-3.67347766677391
3920020,-3.35896892095345
3979964,-3.03290911580557
4040029,-2.93841848795533
4100017,-3.09348590015831
4160024,-3.3454067248953
4220124,-3.41486527674568
4279957,-3.25248587581709
4340031,-3.16011551769343
4399988,-3.20268884812655
4460003,-3.53287225429268
4499956,-3.70176713176546
4540036,-3.74574670820915
4580036,-3.76462817196132
4620131,-3.62935625512193
4679978,-3.34943317544734
4740027,-3.3610772752322
4799970,-3.52067424085306
4840040,-3.60555395946144
4879964,-3.62962695702593
4920004,-3.58905973688017
4980003,-3.50577049432745
5040013,-3.51995547484509
5080008,-3.57133842748217
5140028,-3.50545592332618
5199965,-3.33271814651052
5260090,-3.08256384670514
5320013,-2.92154859530052
5379983,-3.00208247404324
5439999,-3.14233423158517
5499979,-3.18361223817615
5560074,-3.18518436870746
5620130,-3.0476861758332
5679964,-2.63473091918684
5860073,-0.827417204781934
6279986,-0.377112715750327
6460029,-0.934503246704672
6820112,-0.427384398814835
7160046,0.506307355998352
7620217,0.312543934604744
7899972,0.55096994735005
8020130,1.40953743525562
8140056,1.30232990891731
8279988,1.08288035031176
8580015,0.49153436405467
8920033,0.437156637885234
9260087,0.446216700961248
9540024,-0.579580018536154
9679997,-1.15832218418327
9799959,-1.43911767290627
9880017,-1.91767001382493
9960013,-2.04424213204026
10060055,-1.55812685812414
10180001,-1.21179064022827
10280006,-1.50581801246229
10380006,-1.83301536401231
10460010,-1.98768204417266
10540035,-1.85202859578679
10640056,-1.50883596486144
10740037,-1.59517837218909
10840051,-1.61702821126131
10940055,-1.6659988613779
11020138,-1.88506340851387
11100009,-1.84759808126251
11180013,-1.84800303800828
11260069,-1.94324739561618
11340045,-2.12421862727201
11420168,-2.19672935525012
11500047,-2.22073252023801
11580027,-2.12133372643724
11660011,-2.10938661448844
11740022,-2.12856864731627
11820028,-2.12332289902469
11899959,-2.08794065434382
11980003,-2.06238525503028
12060107,-1.92699811742911
12140051,-1.79008007504966
12240023,-1.57338556452705
12340030,-1.78689246260316
12420122,-1.86249430146092
12520023,-1.55756547860522
12620133,-1.47337017905149
12719994,-1.82774428485796
12799962,-1.84188011827585
12899974,-1.60002434720367
12999987,-1.65606110444779
13080033,-1.81119710992273
13179995,-1.59668084618874
13299960,-1.24222250205506
13399956,-1.50596788610805
13499973,-1.63693575885852
13600111,-1.46001287649362
13699961,-1.519010543225
13799962,-1.74992233897606
13900035,-1.61900716301079
13999968,-1.44575995360037
14100004,-1.77363385384487
14180064,-1.97499445565574
14260053,-1.84475352022969
14359982,-1.62924090754229
14440029,-1.78825665120315
14519985,-1.83192091069466
14620118,-1.65893406766652
14720013,-1.80985357741312
14800013,-1.90370400646607
14879959,-2.04319524135892
14959999,-2.20902975656721
15020127,-2.45679220006447
15080026,-2.40108775996472
15179981,-1.53676735219457
15299971,-1.55226384966013
15379986,-1.89856323424582
15499987,-1.26231011716571
15600082,-1.57850628722059
15679971,-2.11958619662169
15760078,-2.22924115851721
15840014,-2.12774893071859
15920011,-1.84923069453304
16020130,-1.72520754008225
16120024,-1.49776669819994
16240010,-1.396738453442
16340020,-1.65495020403235
16420118,-1.83597492191412
16519994,-1.65341201840028
16679966,-0.932069409322391
17420121,0.245908667081455
17580011,1.05589953121997
17740001,0.90286199014973
17919984,0.80780387947267
18160013,0.778429329050865
18379994,0.679180780444858
18499987,1.50127873076875
18600024,1.52491638228824
18740004,1.11900793562129
18879961,1.10078565160454
19379966,-0.333761741002951
19560078,-0.808339333799586
19679972,-1.29380980867594
19779955,-1.62365133097894
19899958,-1.25975183871055
20020129,-1.48799032413197
20120024,-1.74067125935559
20220146,-1.74877757410143
20320010,-1.79436386147088
20399954,-1.98529774646918
20479990,-2.18284551078125
20560014,-2.31819513864294
20640025,-2.35773717917719
20699961,-2.42330611591923
20760079,-2.52678243163742
20820126,-2.70585576558641
20879957,-2.93659255772144
20940025,-3.14436888190027
20999953,-3.16018407188225
21060049,-3.10836778805108
