name, accident, accident_maxdev, max_dev, attack_start_from_init, aggr_start_from_init, accident_from_init, attack_start_from_init_time, aggr_start_from_init_time, accident_time, attack_duration, success_attack_duration, crash_x, crash_y, spoofed_gps_x, spoofed_gps_y, pos_diff, start_time_x, start_time_y
attack-rhs_1742_1886_0.3_1.2, 1, 2.405527, 75.678076, 924, 1068, 108059, 9.2300, 10.6700, 1080.5800, 1069.9100, 1069.9100, 2381.5078, 1339.2266, 2382.2514, 1333.3103, 5.9629, 923.9900, 923.9900
attack-rhs_1743_1886_0.3_1.2, 1, 2.405750, 67.496310, 925, 1068, 108059, 9.2400, 10.6700, 1080.5800, 1069.9100, 1069.9100, 2381.5077, 1339.2268, 2382.2514, 1333.3103, 5.9631, 924.9900, 924.9900
attack-rhs_1744_1886_0.3_1.2, 1, 2.405552, 74.511922, 926, 1068, 108059, 9.2500, 10.6700, 1080.5800, 1069.9100, 1069.9100, 2381.5078, 1339.2267, 2382.2514, 1333.3103, 5.9629, 925.9900, 925.9900
attack-rhs_1745_1886_0.3_1.2, 1, 2.405544, 74.455275, 927, 1068, 108059, 9.2600, 10.6700, 1080.5800, 1069.9100, 1069.9100, 2381.5078, 1339.2266, 2382.2514, 1333.3103, 5.9629, 926.9900, 926.9900
attack-rhs_1746_1886_0.3_1.2, 1, 2.405545, 74.454614, 928, 1068, 108059, 9.2700, 10.6700, 1080.5800, 1069.9100, 1069.9100, 2381.5078, 1339.2266, 2382.2514, 1333.3103, 5.9629, 927.9900, 927.9900
attack-rhs_1747_1886_0.3_1.2, 1, 2.405894, 63.494895, 929, 1068, 108059, 9.2800, 10.6700, 1080.5800, 1069.9100, 1069.9100, 2381.5077, 1339.2270, 2382.2514, 1333.3103, 5.9633, 928.9900, 928.9800
attack-rhs_1748_1886_0.3_1.2, 1, 2.405551, 73.075065, 930, 1068, 108059, 9.2900, 10.6700, 1080.5800, 1069.9100, 1069.9100, 2381.5078, 1339.2267, 2382.2514, 1333.3103, 5.9629, 929.9900, 929.9800
attack-rhs_1749_1886_0.3_1.2, 1, 2.405507, 75.860513, 931, 1068, 108059, 9.3000, 10.6700, 1080.5800, 1069.9100, 1069.9100, 2381.5078, 1339.2266, 2382.2514, 1333.3103, 5.9629, 930.9900, 930.9900
attack-rhs_1750_1886_0.3_1.2, 1, 2.405572, 74.357998, 932, 1068, 108059, 9.3100, 10.6700, 1080.5800, 1069.9100, 1069.9100, 2381.5078, 1339.2267, 2382.2514, 1333.3103, 5.9629, 931.9900, 931.9900
attack-rhs_1751_1886_0.3_1.2, 1, 2.405488, 76.388674, 933, 1068, 108059, 9.3200, 10.6700, 1080.5800, 1069.9100, 1069.9100, 2381.5078, 1339.2266, 2382.2514, 1333.3103, 5.9629, 932.9900, 932.9900
attack-rhs_1752_1886_0.3_1.2, 1, 2.405444, 75.446216, 934, 1068, 108059, 9.3300, 10.6700, 1080.5800, 1069.9100, 1069.9100, 2381.5078, 1339.2265, 2382.2514, 1333.3103, 5.9628, 933.9900, 933.9800
attack-rhs_1753_1886_0.3_1.2, 1, 2.405543, 73.556880, 935, 1068, 108059, 9.3400, 10.6700, 1080.5800, 1069.9100, 1069.9100, 2381.5078, 1339.2266, 2382.2514, 1333.3103, 5.9629, 934.9900, 934.9900
attack-rhs_1754_1886_0.3_1.2, 1, 2.405546, 74.127700, 936, 1068, 108059, 9.3500, 10.6700, 1080.5800, 1069.9100, 1069.9100, 2381.5078, 1339.2266, 2382.2514, 1333.3103, 5.9629, 935.9900, 935.9800
attack-rhs_1755_1886_0.3_1.2, 1, 2.405543, 74.455071, 937, 1068, 108059, 9.3600, 10.6700, 1080.5800, 1069.9100, 1069.9100, 2381.5078, 1339.2266, 2382.2514, 1333.3103, 5.9629, 936.9900, 936.9900
attack-rhs_1756_1886_0.3_1.2, 1, 2.405520, 75.753195, 938, 1068, 108059, 9.3700, 10.6700, 1080.5800, 1069.9100, 1069.9100, 2381.5078, 1339.2266, 2382.2514, 1333.3103, 5.9629, 937.9800, 937.9900
attack-rhs_1757_1886_0.3_1.2, 1, 2.405546, 74.254721, 939, 1068, 108059, 9.3800, 10.6700, 1080.5800, 1069.9100, 1069.9100, 2381.5078, 1339.2266, 2382.2514, 1333.3103, 5.9629, 938.9900, 938.9800
attack-rhs_1758_1886_0.3_1.2, 1, 2.408165, 77.674501, 940, 1068, 108058, 9.3900, 10.6700, 1080.5700, 1069.9000, 1069.9000, 2381.3894, 1339.3218, 2382.1274, 1333.4085, 5.9591, 939.9900, 939.9900
attack-rhs_1759_1886_0.3_1.2, 1, 2.409170, 77.369476, 941, 1068, 108059, 9.4000, 10.6700, 1080.5800, 1069.9100, 1069.9100, 2381.5073, 1339.2302, 2382.2514, 1333.3103, 5.9665, 940.9900, 940.9900
attack-rhs_1760_1886_0.3_1.2, 1, 2.406368, 70.591468, 942, 1068, 108059, 9.4100, 10.6700, 1080.5800, 1069.9100, 1069.9100, 2381.5077, 1339.2275, 2382.2514, 1333.3103, 5.9637, 941.9900, 941.9900
attack-rhs_1761_1886_0.3_1.2, 1, 2.406337, 69.385028, 943, 1068, 108059, 9.4200, 10.6700, 1080.5800, 1069.9100, 1069.9100, 2381.5077, 1339.2274, 2382.2514, 1333.3103, 5.9637, 942.9900, 942.9800
attack-rhs_1762_1886_0.3_1.2, 1, 2.405575, 72.124200, 944, 1068, 108059, 9.4300, 10.6700, 1080.5800, 1069.9100, 1069.9100, 2381.5078, 1339.2267, 2382.2514, 1333.3103, 5.9629, 943.9900, 943.9900
attack-rhs_1763_1886_0.3_1.2, 1, 2.405534, 74.414960, 945, 1068, 108059, 9.4400, 10.6700, 1080.5800, 1069.9100, 1069.9100, 2381.5078, 1339.2266, 2382.2514, 1333.3103, 5.9629, 944.9900, 944.9900
attack-rhs_1764_1886_0.3_1.2, 1, 2.405572, 74.320960, 946, 1068, 108059, 9.4500, 10.6700, 1080.5800, 1069.9100, 1069.9100, 2381.5078, 1339.2267, 2382.2514, 1333.3103, 5.9629, 945.9900, 945.9900
attack-rhs_1765_1886_0.3_1.2, 1, 2.405736, 68.240555, 947, 1068, 108059, 9.4600, 10.6700, 1080.5800, 1069.9100, 1069.9100, 2381.5078, 1339.2268, 2382.2514, 1333.3103, 5.9631, 946.9900, 946.9800
attack-rhs_1766_1886_0.3_1.2, 1, 2.405538, 74.442894, 948, 1068, 108059, 9.4700, 10.6700, 1080.5800, 1069.9100, 1069.9100, 2381.5078, 1339.2266, 2382.2514, 1333.3103, 5.9629, 947.9900, 947.9900
attack-rhs_1767_1886_0.3_1.2, 1, 2.405576, 73.868941, 949, 1068, 108059, 9.4800, 10.6700, 1080.5800, 1069.9100, 1069.9100, 2381.5078, 1339.2267, 2382.2514, 1333.3103, 5.9629, 948.9900, 948.9900
attack-rhs_1768_1886_0.3_1.2, 1, 2.405545, 74.452508, 950, 1068, 108059, 9.4900, 10.6700, 1080.5800, 1069.9100, 1069.9100, 2381.5078, 1339.2266, 2382.2514, 1333.3103, 5.9629, 949.9900, 949.9900
attack-rhs_1769_1886_0.3_1.2, 1, 2.405400, 76.241774, 951, 1068, 108059, 9.5000, 10.6700, 1080.5800, 1069.9100, 1069.9100, 2381.5078, 1339.2265, 2382.2514, 1333.3103, 5.9628, 950.9900, 950.9900
attack-rhs_1770_1886_0.3_1.2, 1, 2.405542, 74.251310, 952, 1068, 108059, 9.5100, 10.6700, 1080.5800, 1069.9100, 1069.9100, 2381.5078, 1339.2266, 2382.2514, 1333.3103, 5.9629, 951.9900, 951.9900
attack-rhs_1771_1886_0.3_1.2, 1, 2.405544, 74.454878, 953, 1068, 108059, 9.5200, 10.6700, 1080.5800, 1069.9100, 1069.9100, 2381.5078, 1339.2266, 2382.2514, 1333.3103, 5.9629, 952.9900, 952.9800
attack-rhs_1772_1886_0.3_1.2, 1, 2.405544, 74.456894, 954, 1068, 108059, 9.5300, 10.6700, 1080.5800, 1069.9100, 1069.9100, 2381.5078, 1339.2266, 2382.2514, 1333.3103, 5.9629, 953.9900, 953.9900
