Time_us,accel_x,accel_y
1040417,-0.401228957199221,0.453247980296587
1080401,-0.487998796586275,0.532446746107982
1120385,-0.529222860812653,0.550571073669136
1160369,-0.555451908415331,0.54890121707352
1200353,-0.643709090267072,0.598569280126089
1240337,-0.664623033371071,0.549457866888798
1280321,-0.684328415215994,0.50290816820762
1320305,-0.700969176873819,0.464442862225591
1360289,-0.714681360111943,0.42123573365143
1400273,-0.717043919542725,0.379156253718122
1440257,-0.724405558861678,0.351130773668088
1480241,-0.73032516431554,0.323504546910245
1520225,-0.736749136993189,0.296876794235552
1560209,-0.74371502665679,0.271429877583612
1600193,-0.748399465099748,0.247034274185566
1640177,-0.751811340992943,0.224025248999684
1680161,-0.753732621939258,0.203038370365813
1720145,-0.754246189927357,0.182700357120581
1760129,-0.752881959212214,0.176087288815773
1800113,-0.750118968731271,0.169137011860688
1840097,-0.745386512465042,0.162615222464689
1880081,-0.739250472545741,0.15592623277019
1920065,-0.735256465025541,0.149937444648428
1960049,-0.734028848414175,0.143702781449444
2000033,-0.731126469970136,0.13792215255024
2040017,-0.719168732199894,0.131902497426669
2080001,-0.705875129224621,0.126308475017636
2119985,-0.68748167638354,0.120757514359793
2160802,-0.661754631768589,0.115894081960346
2200786,-0.635855671396059,0.111200918322086
2240770,-0.61551183751671,0.106941732933348
2280754,-0.593881777873221,0.102875859917551
2320738,-0.570949549336811,0.0987914387458209
2360722,-0.548275134269399,0.0944551922367919
2400706,-0.522655400100248,0.0906102334372086
2460682,-0.481329419166178,0.0852628294689053
2520658,-0.436731674080112,0.080299630075235
2580634,-0.390716410272032,0.0760985224831815
2640610,-0.344159361049905,0.0713259205746294
2720578,-0.285845573867739,0.0667600563635526
2820538,-0.221704868150813,0.0618325898027025
2960482,-0.152134561216232,0.056023574763683
3380314,0.0260902606220267,0.0449627618740647
3640210,0.078568249044955,0.040231400690283
3860122,0.0971941939860059,0.0394812925768348
4060042,0.10170429295373,0.0360605391872673
4340763,0.0766971898500797,0.021175206010172
4580667,0.0834211547000024,0.0252110296112354
4980507,0.049596456084821,0.0174726171323718
5500299,0.0408909512726002,-0.00172984074641819
6200019,0.0153329604512011,-0.0267172243682481
6680660,-0.0121375133217105,-0.0438961125908124
7120484,-0.00829729182157932,-0.0482800091950494
7480340,-0.000670163304823105,-0.0629048200561766
7820204,-0.0231978955738442,-0.0619937806217023
8140076,-0.0117954203215277,-0.0679860520586281
8440789,-0.00486951209718326,-0.071819355241825
8720677,-0.0165878872014597,-0.0746670834658702
9000565,0.00167095028709583,-0.0780904534254297
9280453,-0.00137879503407812,-0.0798294429852831
9540349,-0.0180318262369236,-0.0797351000420897
9820237,-0.00481509378100371,-0.0793845770143993
10080133,-0.00533290735470095,-0.0815069302465275
10340029,-0.00654612163524012,-0.0817745662125803
10600758,-0.0075899028020676,-0.0807637526857587
10860654,-0.00789224269463442,-0.0809130374381703
11120550,-0.0292284026214728,-0.0815908852275423
11360454,-0.0201051111994201,-0.0848826449793639
11600358,-0.0246296876846027,-0.0873267211525699
11780286,-0.0717787432478667,-0.0940408904701014
11920230,-0.131854202470333,-0.0951758288874293
12040182,-0.190060906420998,-0.0971604080236693
12140142,-0.245078226271627,-0.101913137165348
12220110,-0.292236875295546,-0.10486605629297
12300078,-0.331629885906021,-0.109327796952841
12360054,-0.353690305862117,-0.112409791402407
12420030,-0.37652947376908,-0.115900200500461
12480006,-0.403188642999106,-0.118905100144118
12539982,-0.428107931063382,-0.122068290582306
12600791,-0.45285530027407,-0.12537226136021
12660767,-0.473374610200131,-0.128637700620593
12720743,-0.495267475999339,-0.131900722342364
12760727,-0.512339226039806,-0.134647183077653
12800711,-0.529479969969169,-0.137406553297163
12840695,-0.537775810528238,-0.140456204354893
12880679,-0.544328874138248,-0.142991034118319
12920663,-0.545729279281642,-0.146237888589795
12960647,-0.541859779090988,-0.149495217984181
13000631,-0.536749867468242,-0.15216200215403
13040615,-0.545916354254533,-0.155273753058675
13080599,-0.554313468330174,-0.158748268707572
13120583,-0.556893546379409,-0.161889686534407
13160567,-0.55386816518362,-0.165069058526335
13200551,-0.549458911149087,-0.168080164948164
13240535,-0.53576827613702,-0.170886033334525
13280519,-0.520083772522599,-0.173669576520094
13320503,-0.507572599626648,-0.175973382419253
13360487,-0.497207368931416,-0.178533157385269
13420463,-0.479543894701068,-0.181457976822131
13480439,-0.460121919485368,-0.184169503913538
13540415,-0.443057056597294,-0.18667438923894
13600391,-0.426503508350486,-0.188555548558902
13660367,-0.397924598530192,-0.190263196601202
13720343,-0.351817824462644,-0.19116150239028
13780319,-0.306573540456453,-0.191307436938713
13860287,-0.251074108958043,-0.1901320319617
13940255,-0.203488641707199,-0.185058608028029
14040215,-0.129751365325725,-0.162758877343516
