Time_us,x,y,yaw,V_x,V_y,Gyro_z
999600,-0.8508094,0.008272539,3.025594,-1.560146,0.1428352,-0.2025765
1099560,-1.008713,0.02958182,3.006684,-1.592629,0.1795442,-0.1905086
1199520,-1.169327,0.05379716,2.98976,-1.605882,0.2107084,-0.170957
1299480,-1.33227,0.08154818,2.974327,-1.605095,0.2377757,-0.1547998
1399440,-1.495005,0.1113692,2.960438,-1.592783,0.2598034,-0.1396012
1499400,-1.657905,0.1437483,2.947947,-1.573416,0.2778926,-0.1258764
1599360,-1.818665,0.1772928,2.936565,-1.544954,0.2916421,-0.1135674
1700153,-1.979481,0.2129708,2.926297,-1.512771,0.302255,-0.1020416
1800113,-2.135448,0.248812,2.917395,-1.476952,0.3088562,-0.08926482
1900073,-2.289329,0.2855213,2.913712,-1.442389,0.3068235,-0.05011604
2000033,-2.439751,0.3197851,2.929804,-1.410591,0.2737367,0.1511614
2099993,-2.588414,0.3517089,2.941945,-1.38034,0.2485338,0.135483
2199953,-2.733366,0.3808082,2.952647,-1.345453,0.2253096,0.1080656
2299913,-2.875813,0.4087455,2.965852,-1.315957,0.2010183,0.1291829
2399873,-3.014667,0.4338173,2.982247,-1.284264,0.1726698,0.1642181
2499833,-3.150854,0.4566629,3.000519,-1.253427,0.1434968,0.1846443
2599793,-3.283389,0.476065,3.020391,-1.225706,0.1137274,0.2002383
2699753,-3.414052,0.4929728,3.041258,-1.201706,0.08468924,0.2103152
2799713,-3.540552,0.5063086,3.062896,-1.179979,0.05562131,0.2206026
2899673,-3.666899,0.5173118,3.085263,-1.158905,0.0273009,0.2263544
2999633,-3.790042,0.5249151,3.107853,-1.131815,-0.000837453,0.227935
3099593,-3.910953,0.5304906,3.130533,-1.107778,-0.02722413,0.2291769
3199553,-4.028685,0.5329538,3.153116,-1.085469,-0.05288156,0.2282137
3299513,-4.144711,0.5334795,3.175638,-1.065706,-0.07687358,0.2272122
3399473,-4.25823,0.5310274,3.19811,-1.050999,-0.1007246,0.2271749
3499433,-4.371026,0.5265608,3.220479,-1.039714,-0.1237382,0.2264247
3599393,-4.481817,0.5191435,3.242738,-1.028598,-0.1467076,0.224621
3699353,-4.591894,0.5099503,3.264917,-1.016546,-0.1684505,0.2239283
3800146,-4.701186,0.4977849,3.287242,-1.008316,-0.1909656,0.2230675
3900106,-4.808736,0.4839901,3.309106,-0.9987606,-0.2121156,0.2210245
4000066,-4.914598,0.4674565,3.330687,-0.9910786,-0.2335112,0.2191547
4100026,-5.019772,0.4491747,3.352024,-0.9835281,-0.2543517,0.2159792
4199986,-5.123341,0.4282426,3.373119,-0.9738634,-0.2746478,0.2135938
4299946,-5.226382,0.4056385,3.393839,-0.9666646,-0.2944938,0.2095069
4399906,-5.327962,0.3804874,3.414334,-0.9589694,-0.3144561,0.2069217
4499866,-5.429399,0.3537693,3.434422,-0.9517238,-0.33342,0.2035301
4599826,-5.529557,0.3246257,3.45417,-0.9421077,-0.3517992,0.2004023
4699786,-5.629215,0.2941689,3.473481,-0.9347782,-0.3697721,0.1952114
4799746,-5.727486,0.2614442,3.492563,-0.9271057,-0.3878196,0.1926156
4899706,-5.824357,0.2278379,3.510889,-0.9197926,-0.4045563,0.1877564
