Time_us,angl_accel_z
1040417,-0.137485373769132
1080401,-0.14458462643092
1120385,-0.150514328352035
1160369,-0.150320574662914
1200353,-0.158775713887621
1240337,-0.148398803981777
1280321,-0.137957579515649
1320305,-0.122249505132077
1360289,-0.118184779243179
1400273,-0.110564578891123
1440257,-0.0922714439522646
1500233,-0.0813299520216407
1560209,-0.0738392973032453
1620185,-0.0639030043389297
1700153,-0.0535031519876924
1800113,-0.0375516345811787
1900073,-0.0384755689045928
2020025,-0.0351569911004649
2140810,-0.0303892743742381
2300746,-0.0254687112792964
2480674,-0.0217337799646262
2700586,-0.0174829798485108
2980474,-0.0136325899986302
3320338,-0.0111215385561257
3720178,-0.00926686421556886
4220811,-0.00732254768919853
4540683,-0.0116551566599825
4800579,0.0149126824030472
5140443,0.0131350377611586
5700219,0.0070042183058363
6100059,0.0223684125405613
6400772,0.0185526701332484
6720644,0.0232470202013373
7040516,0.0130742039568996
7260428,0.0171196641914314
7460348,0.0186223609598445
7640276,0.0203996564667641
7840196,0.0191453674040933
8020124,0.0212578725331827
8200052,0.0226201728367787
8379980,0.0224862140254994
8540749,0.0229493221697989
8700685,0.0235849777364248
8860621,0.0244861018725057
9020557,0.0246130372297335
9180493,0.025760544515089
9340429,0.0255258999883668
9500365,0.0256716399455455
9660301,0.0251551673566897
9820237,0.0252219966899332
9980173,0.0250855032845231
10140109,0.0259909318270911
10280053,0.0263299728265299
10419997,0.0262236950212239
10560774,0.0262221668260684
10720710,0.0258893784959895
10860654,0.0262142455322001
11000598,0.0261734260684745
11140542,0.0267254621288943
11280486,0.0262994106722881
11420430,0.0274696632553125
11560374,0.0274423379692791
11700318,0.0285770761251481
11820270,0.0347064034470596
11940222,0.0340370108440709
12080166,0.0298164253788252
12200118,0.0329628946140956
12320070,0.0347873820269402
12420030,0.0367085307390649
12519990,0.0387292209992097
12620783,0.0404111985615122
12720743,0.0426622874163092
12820703,0.0449873711110739
12900671,0.0467879880386668
12980639,0.0494597925099275
13060607,0.0517616196928499
13140575,0.0539610472567534
13220543,0.0562487978971181
13300511,0.0591434870957062
13360487,0.0613457525935021
13420463,0.0627890814435943
13480439,0.0638141602982226
13540415,0.0649608068880187
13600391,0.0662313235141745
13660367,0.0679398240038625
13720343,0.0700075309035084
13780319,0.0728920504163199
13840295,0.0766995248329206
13900271,0.0801599124621714
13960247,0.0830532694076002
14020223,0.0850058454948277
14080199,0.0832961175539797
14140175,0.0772326324481665
14220143,0.0512278397991732
