Time_us,angl_accel_x,angl_accel_y,angl_accel_z,pos_x,pos_y,pos_z
725053,-1.19836666145186,-0.8739247995139,-0.0995573042990407,-0.15108,-1.631836,1.562294
734404,-1.76769709663111,-1.07128684730445,-0.144025986054605,-0.1541357,-1.62967,1.582671
744658,-2.26860142069583,-1.18403494756663,-0.132664375594631,-0.1577612,-1.627727,1.587299
754409,-2.74322158023918,-1.14582135255616,-0.110396362819322,-0.1612991,-1.625769,1.592596
765999,-3.06078918255374,-1.05544784555647,-0.0814343583206946,-0.1647775,-1.623867,1.596623
774858,-3.6408061590734,-0.963866904888304,-0.0449880501828768,-0.1681872,-1.62197,1.601333
784561,-4.00089365700488,-0.925175121433386,0.0187367607768451,-0.1709296,-1.619792,1.621541
794390,-4.18348046586838,-0.898912930918759,0.0546862006273376,-0.1742117,-1.617895,1.626967
804909,-4.6001249327761,-0.934198241827369,0.0855913233798861,-0.1774356,-1.615992,1.633057
814483,-4.89206725422455,-0.883863441361881,0.0704744463491664,-0.1806008,-1.614077,1.639833
825666,-4.77037697734441,-0.735169050009256,0.139799438154793,-0.1843263,-1.613596,1.646055
836031,-4.51940687897325,-0.568079287653287,0.195255764648077,-0.187721,-1.613282,1.650917
845659,-4.24054499137759,-0.464095403678034,0.215020011965392,-0.1901988,-1.611107,1.670977
855987,-4.00142996207552,-0.476823343363094,0.218969816901261,-0.1934926,-1.610786,1.676504
866819,-3.86135700878222,-0.554584531606894,0.207313932283299,-0.1967393,-1.610472,1.680855
876025,-3.54823527874038,-0.658827600525388,0.176865042245387,-0.1998858,-1.610105,1.685981
886019,-3.33970559515952,-0.78051899397673,0.130345689965454,-0.2029629,-1.609704,1.691746
895810,-3.20168053954235,-0.877511938771489,0.110980962598525,-0.2051935,-1.607587,1.711781
905810,-3.16684259786209,-1.00702935252878,0.082502756531911,-0.2081548,-1.607162,1.71821
915816,-3.17277477214352,-1.14716332448652,0.0838503207543262,-0.2110609,-1.606696,1.72524
926029,-3.20144688816933,-1.26186213125963,0.112520932791739,-0.2139132,-1.606201,1.732882
935967,-3.37769918432298,-1.384382057843,0.1181508678611,-0.2167,-1.605669,1.741052
945924,-3.4379825605558,-1.46002457624001,0.137612275118385,-0.2187405,-1.603599,1.760909
955883,-3.3808449084308,-1.49975565314856,0.168866525349785,-0.2214051,-1.60301,1.769528
965814,-3.27044797065098,-1.52357135565112,0.197270609681404,-0.2240084,-1.602383,1.776794
975969,-3.05618871170515,-1.52444766812598,0.232980332265212,-0.2266158,-1.601804,1.784741
986027,-2.80423495826528,-1.50406921750186,0.253362388390978,-0.2291845,-1.601216,1.793237
995637,-2.64228512147759,-1.51494898309733,0.274785390139006,-0.2310821,-1.599224,1.812933
1006169,-2.54179051194679,-1.51049246583425,0.331942448156167,-0.2335657,-1.598628,1.821974
1016079,-2.48131599793298,-1.48759191547495,0.358633444080218,-0.2359759,-1.597984,1.831542
1026199,-2.48445076794027,-1.46219593243586,0.394353622964888,-0.2383445,-1.597315,1.841617
1038045,-2.50198532378048,-1.45842301866169,0.413410685917902,-0.2406749,-1.596619,1.852125
1047806,-2.55211665364543,-1.46834078620031,0.461003581021903,-0.2448764,-1.595055,1.864005
1058544,-2.61446450757885,-1.468926765415,0.493116430839854,-0.2486141,-1.593865,1.870656
1067440,-2.60067193234248,-1.47067543025881,0.524151933669078,-0.2502983,-1.591902,1.890106
1077355,-2.56941103376219,-1.4775925192115,0.539313841441367,-0.2540053,-1.590737,1.897424
1087829,-2.58639449716201,-1.46675535466661,0.582347877656232,-0.2576599,-1.589562,1.905253
1097887,-2.50547840436717,-1.44454256553591,0.612175198451136,-0.2612408,-1.588365,1.913583
1107892,-2.38931592566607,-1.41658483057264,0.629798963672513,-0.2647384,-1.587146,1.922349
1117286,-2.28544890316172,-1.40525331595277,0.648163002946363,-0.2663612,-1.5852,1.941497
1127296,-2.23975974542073,-1.39124252628803,0.611397880817042,-0.2697482,-1.583941,1.950666
1137899,-2.18231727074564,-1.38646452097842,0.541083258356819,-0.2730625,-1.582654,1.960276
1147347,-2.19360912902607,-1.27333853071712,0.433170627894501,-0.276318,-1.581349,1.97033
1157886,-2.16890240694584,-1.12803597662943,0.370996109377311,-0.2795186,-1.58003,1.980755
1167293,-2.16208331518403,-0.982703479880859,0.347913052250472,-0.2810735,-1.578114,1.999667
1178560,-2.15734188790497,-0.893913343086882,0.344402798533971,-0.2843675,-1.576665,2.010505
1188827,-2.08715245135796,-0.840721676095408,0.302157441932782,-0.2874485,-1.575376,2.019978
1198886,-2.06179152961976,-0.766020625283726,0.26887906686357,-0.2904765,-1.574049,2.029869
1209025,-2.08120264753674,-0.769326763667918,0.24826316944038,-0.2941507,-1.572443,2.037486
1219858,-2.10525331658396,-0.79831244639197,0.237659751718079,-0.2977509,-1.570879,2.045545
1230510,-2.11768601775957,-0.845812970338899,0.276667649028549,-0.3012941,-1.569317,2.054044
1239888,-2.11787814562785,-0.879550487454424,0.378931877794561,-0.3027796,-1.567492,2.072526
1249926,-2.09932802995248,-1.09066837884334,0.490520479803831,-0.306221,-1.565958,2.081389
1260020,-2.13862097065859,-1.29860830183504,0.547220912200215,-0.309554,-1.564422,2.090615
1273705,-2.23028129655137,-1.46069906894679,0.571021581476664,-0.3129,-1.562699,2.102044
1282892,-2.33713019207975,-1.55819894701462,0.575900295530791,-0.3163117,-1.560786,2.113982
1292486,-2.39104399343571,-1.62305933195,0.591875031911205,-0.3194032,-1.559233,2.122735
1302790,-2.43835448193875,-1.81002223808297,0.603709910006723,-0.3223918,-1.55766,2.131867
1312399,-2.43025877812531,-1.88141867323246,0.568765337865378,-0.3236532,-1.555869,2.149919
1322156,-2.37378228450788,-1.88252155096425,0.514914156164036,-0.3265155,-1.554255,2.15941
1332395,-2.2942307724411,-1.87038872708116,0.42045069854804,-0.3293009,-1.552624,2.169244
1342777,-2.20236470333386,-1.89637708194319,0.320395625550196,-0.332003,-1.550988,2.179423
1352825,-2.02009063663448,-1.64584576770532,0.238922542895516,-0.3346292,-1.549357,2.189899
1362500,-1.88205073897028,-1.45406627114211,0.184308889101661,-0.3357537,-1.547586,2.207665
1372614,-1.7613782176941,-1.31333068579293,0.153045259497177,-0.3382666,-1.545953,2.216792
1385414,-1.73795577859154,-1.21981010241442,0.144444233555193,-0.3409854,-1.543767,2.231566
1395849,-1.84414831192767,-1.0992278078043,0.155758257746171,-0.3432876,-1.542127,2.241387
1405968,-2.04014850322657,-0.903986401858763,0.164545772625399,-0.345502,-1.540476,2.251536
1417820,-2.17662258593599,-0.789403358593284,0.203260909052503,-0.3474168,-1.538988,2.259263
1427386,-2.3735478338615,-0.726503209977426,0.295224765128275,-0.3493496,-1.537326,2.269206
1437409,-2.45921631485256,-0.663016800022655,0.396874417219905,-0.3501872,-1.53563,2.286549
1447044,-2.52916248450672,-0.581234264736131,0.485385514792054,-0.3519022,-1.534176,2.295052
1457424,-2.6694631880782,-0.665375805998985,0.534307114781215,-0.3535135,-1.532701,2.303909
1467044,-2.78427850257486,-0.723593241256739,0.561210799387869,-0.3550211,-1.531201,2.31306
1478035,-2.89239437536323,-0.777707466771374,0.558297921363053,-0.3565174,-1.529552,2.324256
1489955,-2.95824149446682,-0.807165993054158,0.568302869446655,-0.3579243,-1.52773,2.335198
1500105,-2.92819137483699,-0.883771290728145,0.526114762395673,-0.3591027,-1.526215,2.34308
1509957,-2.89618852632329,-0.917500441914048,0.495014144763822,-0.3595341,-1.524643,2.359896
1519903,-2.94538715669039,-0.964513038734846,0.45982300045376,-0.3606187,-1.523222,2.368139
1530031,-2.9598751320769,-1.02518247784733,0.408331784407911,-0.3616178,-1.521819,2.376714
1540045,-3.06305696917846,-1.08113390708396,0.381119578352206,-0.3625229,-1.520414,2.385655
1550145,-3.16257907703862,-1.12525609208943,0.357938025473983,-0.3633743,-1.519038,2.394921
1559844,-3.22726278720704,-1.24159123384069,0.352191446296573,-0.3635749,-1.517559,2.411451
1570044,-3.20441124290145,-1.32417044044366,0.365838448820877,-0.3643017,-1.516199,2.421003
1581048,-3.12891512307153,-1.37931816466396,0.391697488775986,-0.3649661,-1.514711,2.430543
1593506,-3.0318677894635,-1.42557900359043,0.402439206623186,-0.3655358,-1.513212,2.440492
1602830,-2.97672357665154,-1.454418075191,0.438209382703478,-0.3660233,-1.511879,2.449208
1612783,-2.8085947312555,-1.43956292922517,0.465683501584412,-0.3664467,-1.510576,2.458287
1625768,-2.7072714261037,-1.40107387657941,0.507356773348522,-0.3683389,-1.508828,2.467497
1634907,-2.68534608876278,-1.33464591500728,0.580593329792659,-0.3701034,-1.507086,2.477111
1644510,-2.63493766383083,-1.32092525013632,0.665559077340789,-0.3699922,-1.505779,2.493381
1654403,-2.56438284386095,-1.33612734437977,0.753272546269748,-0.3716704,-1.504219,2.5017
1664572,-2.52150097852005,-1.33832868464795,0.807534201083476,-0.3732681,-1.502695,2.510358
1674754,-2.51774848334898,-1.37528336713017,0.862940878684471,-0.3747734,-1.501205,2.519339
1687197,-2.54035955275104,-1.43805620797627,0.872182584783077,-0.3761879,-1.499745,2.528554
1698005,-2.48622657959069,-1.54876824856046,0.890599055055655,-0.3774846,-1.497929,2.540912
1708407,-2.42224312067097,-1.58445373399696,0.88201811555526,-0.3787421,-1.496528,2.548752
1717995,-2.38491090539885,-1.69065743058422,0.883083397969923,-0.3784852,-1.49543,2.564556
1728562,-2.34973115972854,-1.73550521421922,0.841946211915552,-0.3796549,-1.494078,2.572637
1738165,-2.27862582316824,-1.80279692011792,0.736380288061182,-0.380758,-1.492738,2.581068
1748012,-2.23848935416176,-1.83410664071319,0.590152173654801,-0.3817881,-1.491407,2.589819
1758554,-2.21000190454734,-1.89397317644868,0.45496683722963,-0.3827513,-1.490096,2.598886
1767996,-2.14950591182469,-1.85246308501275,0.368024893820053,-0.3823952,-1.489063,2.614444
1778241,-2.0840091375543,-1.78815549909168,0.28587027427088,-0.3833015,-1.487801,2.623662
1787997,-1.99651939788485,-1.69102879357518,0.255837248196736,-0.3841496,-1.486558,2.630923
1802057,-1.95364356730873,-1.51125509576049,0.224001306496131,-0.3846983,-1.484956,2.64464
1811943,-2.00709870317515,-1.39170123178252,0.239101901072808,-0.3855424,-1.483346,2.650566
1822478,-2.04066563630336,-1.25401612535231,0.220972722488032,-0.3862739,-1.481696,2.658417
1832413,-2.05475946591229,-1.1970431138031,0.225312686445147,-0.3870006,-1.480185,2.665101
1842831,-2.0778210206429,-1.17152243615667,0.266621052175879,-0.3876482,-1.478704,2.672092
1852132,-2.12368136438396,-1.17076596492849,0.338482689385586,-0.3871108,-1.477865,2.686979
1862930,-2.18074062365801,-1.12998329397278,0.387985121706658,-0.3876215,-1.476428,2.694191
1872833,-2.34101064695908,-1.21816783802014,0.400591813742261,-0.3880624,-1.475023,2.701684
1882137,-2.44034795393671,-1.30538505907199,0.395383901341278,-0.388447,-1.473653,2.709503
1895091,-2.49048885221557,-1.36154875445193,0.403332966298616,-0.3887913,-1.47232,2.717632
1906008,-2.53281748785779,-1.4039284111177,0.429805853870766,-0.3888544,-1.470745,2.728355
1915537,-2.47049197389181,-1.41622506886838,0.419192799394577,-0.3881427,-1.469983,2.742824
1925544,-2.43871992248928,-1.39653192220455,0.441985142425502,-0.3882944,-1.468673,2.74947
1935549,-2.43762068943194,-1.3515008117529,0.460906664397796,-0.3883916,-1.467405,2.756452
1945920,-2.43811391679166,-1.2660006976038,0.464278397136732,-0.3884421,-1.466188,2.7638
1955993,-2.4419015768799,-1.15557139293472,0.428354971622202,-0.3884379,-1.465007,2.771486
1965535,-2.43620753655931,-1.04803121458232,0.386421575196713,-0.3876104,-1.464354,2.785844
1975789,-2.41849878027422,-0.886659392104913,0.402307350342999,-0.3874989,-1.463211,2.793806
1985561,-2.43113703003021,-0.799242936091257,0.424937832111585,-0.3873151,-1.462086,2.802009
1998108,-2.46515548852209,-0.788872085827611,0.425624132223017,-0.3870586,-1.460971,2.808299
2009063,-2.49758802316335,-0.87502503537975,0.40274788127742,-0.3865313,-1.459705,2.819151
2019036,-2.59051329525614,-0.920917824563136,0.41324300312115,-0.3858405,-1.458902,2.825924
2030650,-2.61930108151171,-1.05480970299607,0.405078230517468,-0.3851166,-1.458086,2.833052
2040899,-2.59775050519377,-1.14194950547827,0.411173086344493,-0.3844157,-1.457348,2.839091
2050645,-2.58716373283432,-1.20255581986442,0.412026352820933,-0.3833978,-1.45678,2.852971
2060542,-2.58690106840681,-1.23863303941473,0.43332813546447,-0.3826261,-1.456079,2.859293
2070585,-2.57482275536832,-1.26479927338533,0.461337314715291,-0.3817947,-1.455392,2.865887
2080862,-2.55462313148876,-1.18515607098207,0.455498047275574,-0.3809007,-1.454721,2.872757
2090950,-2.57627356586761,-1.07911615748656,0.449361847146358,-0.3799596,-1.454061,2.879894
2100569,-2.67674429043892,-0.967791687549828,0.437185216118863,-0.3787864,-1.453538,2.893442
2114878,-2.77546025396905,-0.83664185456471,0.443811857083425,-0.3775185,-1.452583,2.897223
2124123,-2.83265297759561,-0.791997115549105,0.49026131068566,-0.3763131,-1.452061,2.910661
2134106,-2.94705003904628,-0.756319860820006,0.506167382225988,-0.3752723,-1.451419,2.916844
2144745,-3.00419830188065,-0.768685886280668,0.492925134998797,-0.3742241,-1.450795,2.923369
2154148,-3.02108342943112,-0.837750371511655,0.476358335930469,-0.373146,-1.45018,2.930146
2164739,-3.05809172299583,-0.883798252655764,0.463322985371665,-0.3720243,-1.449565,2.937174
2174045,-3.15861698093439,-0.909930149880319,0.462041880909938,-0.3707809,-1.449051,2.95032
2184143,-3.20301638724382,-1.05211397875208,0.463119862996429,-0.3696116,-1.448419,2.957496
2194073,-3.19945380656447,-1.15479505220104,0.478040088701555,-0.3684378,-1.447798,2.964942
2207051,-3.13522239327466,-1.24808676138562,0.50397017207825,-0.3672576,-1.447189,2.970422
2217898,-3.0785349403557,-1.35611299770643,0.487648766218008,-0.3655773,-1.446384,2.981402
2230066,-3.0461942284143,-1.43079332344915,0.423559319817876,-0.3645364,-1.445239,2.986104
2239242,-3.05896357998731,-1.49492271554075,0.383925579219849,-0.3633646,-1.444016,2.991254
2249538,-3.10421662624066,-1.52965967024782,0.403424769581577,-0.3621886,-1.442782,2.996756
2258979,-3.11754873443374,-1.51630319984856,0.43021248825032,-0.3609018,-1.44213,3.009578
2269033,-3.05663329985746,-1.51333228670686,0.443183688051997,-0.3597613,-1.44088,3.015298
2278973,-2.94471078534904,-1.52025611354885,0.455510333582455,-0.3586102,-1.439625,3.021275
2289912,-2.82954982192279,-1.49765325008534,0.483669337522232,-0.3574452,-1.438357,3.027485
2299198,-2.7192995640278,-1.44491977054202,0.503461692549278,-0.3562702,-1.437077,3.033995
2309043,-2.64170605936818,-1.3912808651897,0.521621110970084,-0.3550321,-1.436306,3.046534
2322079,-2.5901074549786,-1.29449557469756,0.557657287648959,-0.3535022,-1.434713,3.056985
2332063,-2.58581449442287,-1.20988400215953,0.587724476315368,-0.3523322,-1.433341,3.061496
2342084,-2.54878817173886,-1.04951215940829,0.599656838604171,-0.351177,-1.431959,3.066367
2352143,-2.5211990867338,-0.94238461736754,0.566639338430519,-0.3500386,-1.43057,3.071584
2362925,-2.51995726751752,-0.876315040604779,0.547313984361213,-0.3489197,-1.429165,3.077158
2372050,-2.49923339177907,-0.838478182819264,0.524036515541504,-0.3477863,-1.428206,3.089418
2382067,-2.48621574971701,-0.824053482250158,0.517593322809179,-0.3466496,-1.42674,3.095194
2392076,-2.50935092162659,-0.818875518574419,0.498973714787445,-0.3455034,-1.425235,3.101209
2402830,-2.58075643713724,-0.838247606287977,0.481418549570827,-0.3443859,-1.423701,3.107465
2414914,-2.66436028362211,-0.857689531919827,0.478597783988043,-0.3433234,-1.42215,3.114007
2427555,-2.71123991307533,-0.885456079265847,0.452982972739542,-0.3417297,-1.420237,3.119664
2437795,-2.72131672563776,-0.925440600886074,0.469253030802379,-0.3399225,-1.418181,3.126755
2447416,-2.72177447388998,-1.00331172993691,0.491987449285,-0.3388264,-1.416947,3.138468
